"FMAID","anatomicalSite"
"fma73233","Left medial-intermediate intercuneiform joint"
"fma73236","Right lateral-intermediate intercuneiform joint"
"fma73237","Left lateral-intermediate intercuneiform joint"
"fma35250","Metacarpophalangeal joint of right thumb"
"fma35251","Metacarpophalangeal joint of left thumb"
"fma35253","Metacarpophalangeal joint of right index finger"
"fma35254","Metacarpophalangeal joint of left index finger"
"fma35256","Metacarpophalangeal joint of right middle finger"
"fma35257","Metacarpophalangeal joint of left middle finger"
"fma35259","Metacarpophalangeal joint of right ring finger"
"fma35260","Metacarpophalangeal joint of left ring finger"
"fma35262","Metacarpophalangeal joint of right little finger"
"fma35263","Metacarpophalangeal joint of left little finger"
"fma35300","Right midcarpal joint"
"fma35301","Left midcarpal joint"
"fma35316","Proximal interphalangeal joint of right index finger"
"fma35317","Proximal interphalangeal joint of left index finger"
"fma35319","Proximal interphalangeal joint of right middle finger"
"fma35320","Proximal interphalangeal joint of left middle finger"
"fma35322","Proximal interphalangeal joint of right ring finger"
"fma35323","Proximal interphalangeal joint of left ring finger"
"fma35325","Proximal interphalangeal joint of right little finger"
"fma35326","Proximal interphalangeal joint of left little finger"
"fma35335","Distal interphalangeal joint of right index finger"
"fma35336","Distal interphalangeal joint of left index finger"
"fma35338","Distal interphalangeal joint of right middle finger"
"fma35339","Distal interphalangeal joint of left middle finger"
"fma35341","Distal interphalangeal joint of right ring finger"
"fma35342","Distal interphalangeal joint of left ring finger"
"fma35344","Distal interphalangeal joint of right little finger"
"fma35345","Distal interphalangeal joint of left little finger"
"fma35370","Distal interphalangeal joint of right second toe"
"fma35371","Distal interphalangeal joint of left second toe"
"fma35372","Proximal interphalangeal joint of right second toe"
"fma35373","Proximal interphalangeal joint of left second toe"
"fma35377","Distal interphalangeal joint of right third toe"
"fma35378","Distal interphalangeal joint of left third toe"
"fma35381","Proximal interphalangeal joint of right third toe"
"fma35382","Proximal interphalangeal joint of left third toe"
"fma35384","Proximal interphalangeal joint of right fourth toe"
"fma35385","Proximal interphalangeal joint of left fourth toe"
"fma35388","Distal interphalangeal joint of right fourth toe"
"fma35389","Distal interphalangeal joint of left fourth toe"
"fma35391","Proximal interphalangeal joint of right little toe"
"fma35392","Proximal interphalangeal joint of left little toe"
"fma35394","Distal interphalangeal joint of right little toe"
"fma35395","Distal interphalangeal joint of left little toe"
"fma35422","Carpometacarpal joint of right thumb"
"fma35423","Carpometacarpal joint of left thumb"
"fma35425","Right second carpometacarpal joint"
"fma35426","Left second carpometacarpal joint"
"fma35428","Right third carpometacarpal joint"
"fma35429","Left third carpometacarpal joint"
"fma35431","Right fourth carpometacarpal joint"
"fma35432","Left fourth carpometacarpal joint"
"fma35434","Right fifth carpometacarpal joint"
"fma35435","Left fifth carpometacarpal joint"
"fma42319","Right pisotriquetral joint"
"fma42320","Left pisotriquetral joint"
"fma65005","Intermetacarpal joint of right second and third metacarpal bones"
"fma65006","Intermetacarpal joint of left second and third metacarpal bones"
"fma65009","Intermetacarpal joint of right third and fourth metacarpal bones"
"fma65010","Intermetacarpal joint of left third and fourth metacarpal bones"
"fma65012","Intermetacarpal joint of right fourth and fifth metacarpal bones"
"fma65013","Intermetacarpal joint of left fourth and fifth metacarpal bones"
"fma73127","Right pisiform joint"
"fma73128","Left pisiform joint"
"","unknown"
"","other site"
