"FMAID","anatomicalSite"
"fma321860","Vertebral part of cervicothoracic region of back"
"fma321861","Vertebral part of thoracolumbar region of back"
"fma321862","Vertebral part of lumbosacral region of back"
"fma321863","Vertebral part of sacrococcygeal region of back"
"fma322078","Right lateral half of trunk"
"fma322079","Left lateral half of trunk"
"fma322080","Cervicothoracic region of back"
"fma322081","Lumbar region of back"
"fma322082","Lumbosacral region of back"
"fma322083","Sacrococcygeal region of back"
"fma322084","Coccygeal region of back"
"fma322167","Retro-auricular part of head"
"fma322173","Right peri-orbital region of face"
"fma322174","Left peri-orbital region of face"
"fma322184","Anterior axillary fold"
"fma322185","Posterior axillary fold"
"fma322616","Region of elbow"
"fma322976","Lateral part of floor of mouth"
"fma323988","Lower part of back of thorax"
"fma323989","Upper part of back of thorax"
"fma323990","Paravertebral part of back of abdomen"
"fma35351","Acromial part of right shoulder"
"fma35352","Acromial part of left shoulder"
"fma37357","Wall of right axilla"
"fma37358","Wall of left axilla"
"fma46476","Cheek"
"fma46495","Chin"
"fma52780","Ear"
"fma52781","External ear"
"fma54439","Upper eyelid"
"fma54442","Lower eyelid"
"fma54449","Right eye"
"fma54450","Left eye"
"fma59398","Mandibular part of mouth"
"fma59516","Root of nose"
"fma59517","Dorsum of nose"
"fma59518","Tip of nose"
"fma59519","Ala of nose"
"fma59725","Columella"
"fma59815","Labial part of mouth"
"fma60964","Subdivision of cheek"
"fma61608","Right half of front of neck"
"fma61609","Left half of front of neck"
"fma61681","Back of abdomen"
"fma61690","Vertebral part of back of abdomen"
"fma61705","Subdivision of external ear"
"fma61707","Auricular part of head"
"fma61732","Right parietal part of head"
"fma61733","Left parietal part of head"
"fma63864","Forehead"
"fma63865","Frontal part proper of head"
"fma63867","Temporal part of head"
"fma63869","Subdivision of temporal part of head"
"fma73005","Deltoid part of right shoulder"
"fma73007","Deltoid part of left shoulder"
"fma73011","Base of right axilla"
"fma73012","Base of left axilla"
"fma74795","Right lateral part of neck"
"fma74796","Left lateral part of neck"
"fma74830","Subdivision of back of thorax"
"fma74846","Region of knee"
"fma74847","Region of ankle"
"fma77269","Angle of mouth"
"fma78576","Scapular part of right shoulder"
"fma78577","Scapular part of left shoulder"
"fma79188","Pectoral part of right shoulder"
"fma79189","Pectoral part of left shoulder"
"fma83014","Proximal free limb region"
"fma83015","Distal free limb region"
"fma83016","Middle free limb region"
"fma86592","Floor of mouth"
"fma9665","Ankle"
"fma326540","Anterolateral part of elbow"
"fma326541","Anterolateral part of knee"
"fma326543","Anteromedial part of knee"
"fma326549","Posterolateral part of elbow"
"fma326550","Posterolateral part of knee"
"fma326554","Posteromedial part of elbow"
"fma326555","Posteromedial part of knee"
"fma326560","Knee crease"
"fma326566","Medial part of ankle"
"fma326567","Lateral part of ankle"
"fma326571","Anteromedial part of elbow"
"fma326694","Left lateral half of external nose"
"fma326695","Right lateral half of external nose"
"fma224222","Supra-auricular part of head"
"fma22992","Interscapular part of back"
"fma22995","Infrascapular part of back"
"fma24902","Right elbow"
"fma24903","Left elbow"
"fma24904","Anterior part of elbow"
"fma24907","Posterior part of elbow"
"fma24923","Anterior part of wrist"
"fma24924","Posterior part of wrist"
"fma24940","Right wrist"
"fma24941","Left wrist"
"fma24970","Right ankle"
"fma24971","Left ankle"
"fma24975","Anterior part of knee"
"fma24976","Popliteal part of knee"
"fma24977","Right knee"
"fma24978","Left knee"
"fma24991","Anterior part of ankle"
"fma24992","Posterior part of ankle"
"fma25251","Front of right upper limb"
"fma25252","Front of left upper limb"
"fma25253","Back of right upper limb"
"fma25254","Back of left upper limb"
"fma25255","Front of right lower limb"
"fma25256","Front of left lower limb"
"fma25257","Back of right lower limb"
"fma25258","Back of left lower limb"
"fma25448","Malleolar part of ankle"
"fma258781","Proximal segment of wrist"
"fma258787","Distal segment of wrist"
"fma260136","Right mandibular part proper of mouth"
"fma260138","Left mandibular part proper of mouth"
"fma286123","Lip proper"
"fma286125","Region of upper lip"
"fma286127","Region of lower lip"
