"Attribute","Description","Valid Values","DependsOn","Required","Parent","Source","Validation Rules","columnType","Format","Minimum","Maximum","Pattern"
"Olink Assay Metadata Template","A template outlining assay metadata to be collected for each plate in an Olink dataset.","","Component, assay, plateID, platform, targetPanel, targetPanelSynID, targetPanelSize","","","","","","","","",""
"Olink File Annotation Template","A template outlining metadata to be provided by contributors that is applied as a preliminary set of annotations to Olink dataset files.","","Component, fileFormat, resourceType, plateID, specimenModality","","","","","","","","",""
"BDM Olink File Annotations","A template outlining the complete set of metadata to be applied as annotations to Olink dataset files by ARK Portal BDM.","","Component, fileFormat, resourceType, plateID, platform, targetPanel, targetPanelSynID, targetPanelSize, diagnosis, specimenModality, dataType, dataSubtype, visitID, program, project, biospecimenType, species, primaryCellSource, cellType, userDefinedCellType","","","","","","","","",""
"assay","The technology used to generate the data in this file.","Olink Explore HT, Olink Reveal, Olink Flex, Olink Focus, Olink Target 48, Olink Target 96","","TRUE","","","","string","","","",""
"platform","The specific instrument (manufacturer, model, etc.) that was used to carry out a laboratory or computational experiment.","Olink Signature Q100, Fluidigm BioMark, Illumina NextSeq 500, Illumina NovaSeq 6000, unknown","","FALSE","","","list like error","string_list","","","",""
"plateID","An identifier assigned to a multi-well plate. Certain data types and assays profile samples using multi-well plates. Knowing which samples were profiled on each plate is important for establishing sample provenance, finding the right data files for a specific set of samples, as well as downstream exploratory data analysis and QC work particularly regarding identification and correction of batch effects.","","","TRUE","","","^^#OlinkAssayMetadataTemplate unique error^^list like error","string_list","","","",""
"AMP RA/SLE","Accelerating Medicines Partnership Rheumatoid Arthritis and Systemic Lupus Erythematosus. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.","","visitID, programPhase","FALSE","","","","","","","",""
"AMP AIM","Accelerating Medicines Partnership Autoimmune and Immune-Mediated Diseases. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.","","visitID","","","","","","","","",""
