template,primary_key
BiospecimenMetadataTemplate,biospecimenID
InVitroBiospecimenMetadataTemplate,biospecimenID
ClinicalMetadataTemplate,individualID
BulkATAC-seqAssayMetadataTemplate,
BulkRNA-seqAssayMetadataTemplate,
CyTOFAssayMetadataTemplate,
PublicationMetadataTemplate,
ScRNASeqAssayMetadataTemplate,
SnATAC-seqAssayMetadataTemplate,
SnRNASeqAssayMetadataTemplate,
OlinkAssayMetadataTemplate,plateID
SpatialImagingAssayMetadataTemplate,slideID
