cde_id	amp_variable	sb_source	table_schema_field	example_source_value	spec_origin	spec_status	schema_error	sb_value_set
519	upd2401_time_spent_with_dyskinesias	AMP-PD	"{""name"":""upd2401_time_spent_with_dyskinesias"",""type"":""string"",""constraints"":{""enum"":[""Normal"",""Slight"",""Mild"",""Moderate"",""Severe""]},""categories"":[{""value"":""Normal"",""label"":""Normal""},{""value"":""Slight"",""label"":""Slight""},{""value"":""Mild"",""label"":""Mild""},{""value"":""Moderate"",""label"":""Moderate""},{""value"":""Severe"",""label"":""Severe""}]}"	Normal	SB:amp_value_set	sb_fallback		Normal | Slight | Mild | Moderate | Severe
520	upd2402_functional_impact_of_dyskinesias	AMP-PD	"{""name"":""upd2402_functional_impact_of_dyskinesias"",""type"":""string"",""constraints"":{""enum"":[""Normal"",""Slight"",""Mild"",""Moderate"",""Severe""]},""categories"":[{""value"":""Normal"",""label"":""Normal""},{""value"":""Slight"",""label"":""Slight""},{""value"":""Mild"",""label"":""Mild""},{""value"":""Moderate"",""label"":""Moderate""},{""value"":""Severe"",""label"":""Severe""}]}"	Normal	SB:amp_value_set	sb_fallback		Normal | Slight | Mild | Moderate | Severe
521	upd2403_time_spent_in_the_off_state	AMP-PD	"{""name"":""upd2403_time_spent_in_the_off_state"",""type"":""string"",""constraints"":{""enum"":[""Normal"",""Slight"",""Mild"",""Moderate"",""Severe""]},""categories"":[{""value"":""Normal"",""label"":""Normal""},{""value"":""Slight"",""label"":""Slight""},{""value"":""Mild"",""label"":""Mild""},{""value"":""Moderate"",""label"":""Moderate""},{""value"":""Severe"",""label"":""Severe""}]}"	Normal	SB:amp_value_set	sb_fallback		Normal | Slight | Mild | Moderate | Severe
522	upd2404_functional_impact_of_fluctuations	AMP-PD	"{""name"":""upd2404_functional_impact_of_fluctuations"",""type"":""string"",""constraints"":{""enum"":[""Normal"",""Slight"",""Mild"",""Moderate"",""Severe""]},""categories"":[{""value"":""Normal"",""label"":""Normal""},{""value"":""Slight"",""label"":""Slight""},{""value"":""Mild"",""label"":""Mild""},{""value"":""Moderate"",""label"":""Moderate""},{""value"":""Severe"",""label"":""Severe""}]}"	Normal	SB:amp_value_set	sb_fallback		Normal | Slight | Mild | Moderate | Severe
523	upd2405_complexity_of_motor_fluctuations	AMP-PD	"{""name"":""upd2405_complexity_of_motor_fluctuations"",""type"":""string"",""constraints"":{""enum"":[""Normal"",""Slight"",""Mild"",""Moderate"",""Severe""]},""categories"":[{""value"":""Normal"",""label"":""Normal""},{""value"":""Slight"",""label"":""Slight""},{""value"":""Mild"",""label"":""Mild""},{""value"":""Moderate"",""label"":""Moderate""},{""value"":""Severe"",""label"":""Severe""}]}"	Normal	SB:amp_value_set	sb_fallback		Normal | Slight | Mild | Moderate | Severe
524	upd2406_painful_off_state_dystonia	AMP-PD	"{""name"":""upd2406_painful_off_state_dystonia"",""type"":""string"",""constraints"":{""enum"":[""Normal"",""Slight"",""Mild"",""Moderate"",""Severe""]},""categories"":[{""value"":""Normal"",""label"":""Normal""},{""value"":""Slight"",""label"":""Slight""},{""value"":""Mild"",""label"":""Mild""},{""value"":""Moderate"",""label"":""Moderate""},{""value"":""Severe"",""label"":""Severe""}]}"	Normal	SB:amp_value_set	sb_fallback		Normal | Slight | Mild | Moderate | Severe
525	upd2da_dyskinesias_during_exam	AMP-PD	"{""name"":""upd2da_dyskinesias_during_exam"",""type"":""string"",""constraints"":{""enum"":[""No"",""Yes""]},""categories"":[{""value"":""No"",""label"":""No""},{""value"":""Yes"",""label"":""Yes""}]}"	No	SB:amp_value_set	sb_fallback		No | Yes
526	upd2db_movements_interfere_with_ratings	AMP-PD	"{""name"":""upd2db_movements_interfere_with_ratings"",""type"":""string"",""constraints"":{""enum"":[""No"",""Yes""]},""categories"":[{""value"":""No"",""label"":""No""},{""value"":""Yes"",""label"":""Yes""}]}"	No	SB:amp_value_set	sb_fallback		No | Yes
527	upd2hy_hoehn_and_yahr_stage	AMP-PD	"{""name"":""upd2hy_hoehn_and_yahr_stage"",""type"":""string"",""constraints"":{""enum"":[""Stage 0"",""Stage 1"",""Stage 1.5"",""Stage 2"",""Stage 2.5"",""Stage 3"",""Stage 4"",""Stage 5""]},""categories"":[{""value"":""Stage 0"",""label"":""Stage 0""},{""value"":""Stage 1"",""label"":""Stage 1""},{""value"":""Stage 1.5"",""label"":""Stage 1.5""},{""value"":""Stage 2"",""label"":""Stage 2""},{""value"":""Stage 2.5"",""label"":""Stage 2.5""},{""value"":""Stage 3"",""label"":""Stage 3""},{""value"":""Stage 4"",""label"":""Stage 4""},{""value"":""Stage 5"",""label"":""Stage 5""}]}"	Stage 0	SB:amp_value_set	sb_fallback		Stage 0 | Stage 1 | Stage 1.5 | Stage 2 | Stage 2.5 | Stage 3 | Stage 4 | Stage 5
528	updrs1_ment_behav_mood_score	AMP-PD	"{""name"":""updrs1_ment_behav_mood_score"",""type"":""number"",""constraints"":{""minimum"":0.0,""maximum"":16.0}}"	8.0	SB:amp_value_set + AMP:DataType=Float	sb_fallback		0 - 16
530	updrs2_adl_score	AMP-PD	"{""name"":""updrs2_adl_score"",""type"":""number"",""constraints"":{""minimum"":0.0,""maximum"":52.0}}"	26.0	SB:amp_value_set + AMP:DataType=Float	sb_fallback		0 - 52
532	updrs3_motor_examination_score	AMP-PD	"{""name"":""updrs3_motor_examination_score"",""type"":""number"",""constraints"":{""minimum"":0.0,""maximum"":108.0}}"	54.0	SB:amp_value_set + AMP:DataType=Float	sb_fallback		0 - 108
533	updrs4_therapy_complications_score	AMP-PD	"{""name"":""updrs4_therapy_complications_score"",""type"":""number"",""constraints"":{""minimum"":0.0,""maximum"":30.0}}"	15.0	SB:amp_value_set + AMP:DataType=Float	sb_fallback		0 - 30
534	upsit_performed	AMP-PD	"{""name"":""upsit_performed"",""type"":""string"",""constraints"":{""enum"":[""Completed"",""Not completed"",""Partially completed""]},""categories"":[{""value"":""Completed"",""label"":""Completed""},{""value"":""Not completed"",""label"":""Not completed""},{""value"":""Partially completed"",""label"":""Partially completed""}]}"	Completed	SB:amp_value_set	sb_fallback		Completed | Not completed | Partially completed
535	upsit_total_score	AMP-PD	"{""name"":""upsit_total_score"",""type"":""integer"",""constraints"":{""minimum"":0,""maximum"":40}}"	20	SB:amp_value_set	sb_fallback		0 - 40
536	use_of_pd_medication	AMP-PD	"{""name"":""use_of_pd_medication"",""type"":""string"",""constraints"":{""enum"":[""No"",""Yes"",""Unknown""]},""categories"":[{""value"":""No"",""label"":""No""},{""value"":""Yes"",""label"":""Yes""},{""value"":""Unknown"",""label"":""Unknown""}]}"	No	SB:amp_value_set	sb_fallback		No | Yes | Unknown
537	vis_halluc	AMP-PD	"{""name"":""vis_halluc"",""type"":""string"",""constraints"":{""enum"":[""Yes"",""No"",""NA""]},""categories"":[{""value"":""Yes"",""label"":""Yes""},{""value"":""No"",""label"":""No""},{""value"":""NA"",""label"":""NA""}]}"	Yes	SB:amp_value_set	sb_fallback		Yes | No | NA
538	visit_month	AMP-PD	"{""name"":""visit_month"",""type"":""number""}"		AMP:pdrd/Caffeine_history_dictionary.csv	amp_sourced		
539	visit_name	AMP-PD	"{""name"":""visit_name"",""type"":""string""}"	visit_name_0001	AMP:pdrd/Caffeine_history_dictionary.csv	amp_sourced		
542	age_at_visit	AMP-RA-SLE	"{""name"":""age_at_visit"",""type"":""number""}"		SB:amp_value_set	sb_fallback		Continuous
546	diagnosis	AMP-RA-SLE	"{""name"":""diagnosis"",""type"":""string"",""constraints"":{""enum"":[""At-Risk RA"",""Not Applicable"",""OA"",""RA"",""SLE"",""Sjogren's disease"",""control"",""cutaneous lupus erythematosus"",""dermatomyositis"",""discoid lupus erythematosus"",""lupus nephritis"",""psoriasis"",""psoriatic arthritis"",""scleroderma"",""unknown"",""vitiligo""]},""categories"":[{""value"":""At-Risk RA"",""label"":""At-Risk RA""},{""value"":""Not Applicable"",""label"":""Not Applicable""},{""value"":""OA"",""label"":""OA""},{""value"":""RA"",""label"":""RA""},{""value"":""SLE"",""label"":""SLE""},{""value"":""Sjogren's disease"",""label"":""Sjogren's disease""},{""value"":""control"",""label"":""control""},{""value"":""cutaneous lupus erythematosus"",""label"":""cutaneous lupus erythematosus""},{""value"":""dermatomyositis"",""label"":""dermatomyositis""},{""value"":""discoid lupus erythematosus"",""label"":""discoid lupus erythematosus""},{""value"":""lupus nephritis"",""label"":""lupus nephritis""},{""value"":""psoriasis"",""label"":""psoriasis""},{""value"":""psoriatic arthritis"",""label"":""psoriatic arthritis""},{""value"":""scleroderma"",""label"":""scleroderma""},{""value"":""unknown"",""label"":""unknown""},{""value"":""vitiligo"",""label"":""vitiligo""}]}"	At-Risk RA	SB:amp_value_set	sb_fallback		At-Risk RA | Not Applicable | OA | RA | SLE | Sjogren's disease | control | cutaneous lupus erythematosus | dermatomyositis | discoid lupus erythematosus | lupus nephritis | psoriasis | psoriatic arthritis | scleroderma | unknown | vitiligo
547	ethnicity	AMP-RA-SLE	"{""name"":""ethnicity"",""type"":""string"",""constraints"":{""enum"":[""Not Hispanic or Latino"",""Hispanic or Latino"",""Unknown""]},""categories"":[{""value"":""Not Hispanic or Latino"",""label"":""Not Hispanic or Latino""},{""value"":""Hispanic or Latino"",""label"":""Hispanic or Latino""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Not Hispanic or Latino	SB:amp_value_set	sb_fallback		Not Hispanic or Latino | Hispanic or Latino | Unknown
548	GUID	AMP-RA-SLE	"{""name"":""GUID"",""type"":""string""}"	GUID_0001	AMP:pdrd/Caffeine_history_dictionary.csv	amp_sourced		
550	individualID	AMP-RA-SLE	"{""name"":""individualID"",""type"":""string""}"	individualID_0001	SB:amp_value_set	sb_fallback		Identifier
554	race	AMP-RA-SLE	"{""name"":""race"",""type"":""string"",""constraints"":{""enum"":[""White"",""Black or African American"",""Native Hawaiian or Other Pacific Islander"",""Asian"",""American Indian or Alaska Native"",""Unknown"",""Multiracial""]},""categories"":[{""value"":""White"",""label"":""White""},{""value"":""Black or African American"",""label"":""Black or African American""},{""value"":""Native Hawaiian or Other Pacific Islander"",""label"":""Native Hawaiian or Other Pacific Islander""},{""value"":""Asian"",""label"":""Asian""},{""value"":""American Indian or Alaska Native"",""label"":""American Indian or Alaska Native""},{""value"":""Unknown"",""label"":""Unknown""},{""value"":""Multiracial"",""label"":""Multiracial""}]}"	White	AMP:pdrd/Demographics_dictionary.csv	amp_sourced		White | Black or African American | Native Hawaiian or Other Pacific Islander | Asian | American Indian or Alaska Native | Unknown | Multiracial
555	sex	AMP-RA-SLE	"{""name"":""sex"",""type"":""string"",""constraints"":{""enum"":[""Male"",""Female"",""Unknown""]},""categories"":[{""value"":""Male"",""label"":""Male""},{""value"":""Female"",""label"":""Female""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Male	SB:amp_value_set	sb_fallback		Male;Female;Unknown
