cde_id	amp_variable	sb_source	table_schema_field	example_source_value	spec_origin	spec_status	schema_error	sb_value_set
20	cohort	AMP-AD	"{""name"":""cohort"",""type"":""string"",""constraints"":{""enum"":[""AA"",""Banner"",""Biggs Institute Brain Bank"",""CLINCOR"",""Emory"",""LATC"",""MAP"",""MARS"",""Mayo Clinic"",""Mt Sinai Brain Bank"",""NY Brain Bank"",""UPenn"",""ROS"",""UFL""]},""categories"":[{""value"":""AA"",""label"":""AA""},{""value"":""Banner"",""label"":""Banner""},{""value"":""Biggs Institute Brain Bank"",""label"":""Biggs Institute Brain Bank""},{""value"":""CLINCOR"",""label"":""CLINCOR""},{""value"":""Emory"",""label"":""Emory""},{""value"":""LATC"",""label"":""LATC""},{""value"":""MAP"",""label"":""MAP""},{""value"":""MARS"",""label"":""MARS""},{""value"":""Mayo Clinic"",""label"":""Mayo Clinic""},{""value"":""Mt Sinai Brain Bank"",""label"":""Mt Sinai Brain Bank""},{""value"":""NY Brain Bank"",""label"":""NY Brain Bank""},{""value"":""UPenn"",""label"":""UPenn""},{""value"":""ROS"",""label"":""ROS""},{""value"":""UFL"",""label"":""UFL""}]}"	AA	SB:amp_value_set	sb_fallback		AA; Banner; Biggs Institute Brain Bank; CLINCOR; Emory; LATC; MAP; MARS; Mayo Clinic; Mt Sinai Brain Bank; NY Brain Bank; UPenn; ROS; UFL
24	dcfdx	AMP-AD	"{""name"":""dcfdx"",""type"":""integer"",""constraints"":{""enum"":[1,2,3,4,5,6]},""categories"":[{""value"":1,""label"":""NCI: No cognitive impairment""},{""value"":2,""label"":""MCI: Mild cognitive impairment, no other condition contributing to CI""},{""value"":3,""label"":""MCI+: Mild cognitive impairment AND another condition contributing to CI""},{""value"":4,""label"":""AD: Alzheimer's dementia, no other condition contributing to CI (NINCDS/ADRDA Probable AD)""},{""value"":5,""label"":""AD+: Alzheimer's dementia AND other condition contributing to CI (NINCDS/ADRDA Possible AD)""},{""value"":6,""label"":""Other dementia: Other primary cause of dementia, no clinical evidence of Alzheimer's dementia""}]}"	1	SB:amp_value_set	sb_fallback		1=NCI: No cognitive impairment | 2=MCI: Mild cognitive impairment, no other condition contributing to CI | 3=MCI+: Mild cognitive impairment AND another condition contributing to CI | 4=AD: Alzheimer's dementia, no other condition contributing to CI (NINCDS/ADRDA Probable AD) | 5=AD+: Alzheimer's dementia AND other condition contributing to CI (NINCDS/ADRDA Possible AD) | 6=Other dementia: Other primary cause of dementia, no clinical evidence of Alzheimer's dementia
27	diagnosis	AMP-AD	"{""name"":""diagnosis"",""type"":""string""}"	diagnosis_0001	AMP:pdrd/PD_Medical_History_dictionary.csv	amp_sourced		
28	educ	AMP-AD	"{""name"":""educ"",""type"":""integer"",""constraints"":{""minimum"":0,""maximum"":30}}"	15	SB:amp_value_set	sb_fallback		Range: 0-30
29	ethnicity	AMP-AD	"{""name"":""ethnicity"",""type"":""string"",""constraints"":{""enum"":[""Not Hispanic or Latino"",""Hispanic or Latino"",""Unknown""]},""categories"":[{""value"":""Not Hispanic or Latino"",""label"":""Not Hispanic or Latino""},{""value"":""Hispanic or Latino"",""label"":""Hispanic or Latino""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Not Hispanic or Latino	SB:amp_value_set	sb_fallback		Not Hispanic or Latino | Hispanic or Latino | Unknown
33	GUID	AMP-AD	"{""name"":""GUID"",""type"":""string""}"	GUID_0001	AMP:pdrd/Caffeine_history_dictionary.csv	amp_sourced		
34	individualID	AMP-AD	"{""name"":""individualID"",""type"":""string""}"	individualID_0001	SB:amp_value_set	sb_fallback		Identifier
35	isHispanic	AMP-AD	"{""name"":""isHispanic"",""type"":""string"",""constraints"":{""enum"":[""True"",""False"",""Missing or unknown""]},""categories"":[{""value"":""True"",""label"":""True""},{""value"":""False"",""label"":""False""},{""value"":""Missing or unknown"",""label"":""Missing or unknown""}]}"	True	SB:amp_value_set	sb_fallback		True; False; Missing or unknown
37	mayoDx	AMP-AD	"{""name"":""mayoDx"",""type"":""string"",""constraints"":{""enum"":[""AD"",""Control"",""other"",""not applicable""]},""categories"":[{""value"":""AD"",""label"":""AD""},{""value"":""Control"",""label"":""Control""},{""value"":""other"",""label"":""other""},{""value"":""not applicable"",""label"":""not applicable""}]}"	AD	AMP:ad/DiverseCohortsOutcomes.pdf	amp_sourced		Controlled vocabulary of Mayo Clinic diagnostic categories
38	msex	AMP-AD	"{""name"":""msex"",""type"":""string"",""constraints"":{""enum"":[""Male"",""Female"",""M"",""F"",""Unknown""]},""categories"":[{""value"":""Male"",""label"":""Male""},{""value"":""Female"",""label"":""Female""},{""value"":""M"",""label"":""M""},{""value"":""F"",""label"":""F""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Male	SB:amp_value_set	sb_fallback		Male | Female | M | F | Unknown
40	path_braak_nft	AMP-AD	"{""name"":""path_braak_nft"",""type"":""string"",""constraints"":{""enum"":[""0"",""1"",""2"",""3"",""4"",""5"",""6"",""NA""]},""categories"":[{""value"":""0"",""label"":""0""},{""value"":""1"",""label"":""1""},{""value"":""2"",""label"":""2""},{""value"":""3"",""label"":""3""},{""value"":""4"",""label"":""4""},{""value"":""5"",""label"":""5""},{""value"":""6"",""label"":""6""},{""value"":""NA"",""label"":""NA""}]}"	0	SB:amp_value_set	sb_fallback		0 | 1 | 2 | 3 | 4 | 5 | 6 | NA
41	pmi	AMP-AD	"{""name"":""pmi"",""type"":""number""}"		SB:amp_value_set	sb_fallback		Continuous
43	race	AMP-AD	"{""name"":""race"",""type"":""string"",""constraints"":{""enum"":[""White"",""Black or African American"",""Native Hawaiian or Other Pacific Islander"",""Asian"",""American Indian or Alaska Native"",""Unknown"",""Multiracial""]},""categories"":[{""value"":""White"",""label"":""White""},{""value"":""Black or African American"",""label"":""Black or African American""},{""value"":""Native Hawaiian or Other Pacific Islander"",""label"":""Native Hawaiian or Other Pacific Islander""},{""value"":""Asian"",""label"":""Asian""},{""value"":""American Indian or Alaska Native"",""label"":""American Indian or Alaska Native""},{""value"":""Unknown"",""label"":""Unknown""},{""value"":""Multiracial"",""label"":""Multiracial""}]}"	White	AMP:pdrd/Demographics_dictionary.csv	amp_sourced		White | Black or African American | Native Hawaiian or Other Pacific Islander | Asian | American Indian or Alaska Native | Unknown | Multiracial
49	spanish	AMP-AD	"{""name"":""spanish"",""type"":""string"",""constraints"":{""enum"":[""True"",""False"",""1"",""0""]},""categories"":[{""value"":""True"",""label"":""True""},{""value"":""False"",""label"":""False""},{""value"":""1"",""label"":""1""},{""value"":""0"",""label"":""0""}]}"	True	SB:amp_value_set	sb_fallback		True | False | 1 | 0
57	visit_month	AMP-AD	"{""name"":""visit_month"",""type"":""number""}"		AMP:pdrd/Caffeine_history_dictionary.csv	amp_sourced		
59	sex	AMP-AD | AMP-CMD | AMP-PD | AMP-RA/SLE	"{""name"":""sex"",""type"":""string"",""constraints"":{""enum"":[""Male"",""Female"",""Unknown""]},""categories"":[{""value"":""Male"",""label"":""Male""},{""value"":""Female"",""label"":""Female""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Male	SB:amp_value_set	sb_fallback		Male;Female;Unknown
63	age_at_visit	AMP-CMD	"{""name"":""age_at_visit"",""type"":""number""}"		SB:amp_value_set	sb_fallback		Continuous
74	cohort	AMP-CMD	"{""name"":""cohort"",""type"":""string"",""constraints"":{""enum"":[""AA"",""Banner"",""Biggs Institute Brain Bank"",""CLINCOR"",""Emory"",""LATC"",""MAP"",""MARS"",""Mayo Clinic"",""Mt Sinai Brain Bank"",""NY Brain Bank"",""UPenn"",""ROS"",""UFL""]},""categories"":[{""value"":""AA"",""label"":""AA""},{""value"":""Banner"",""label"":""Banner""},{""value"":""Biggs Institute Brain Bank"",""label"":""Biggs Institute Brain Bank""},{""value"":""CLINCOR"",""label"":""CLINCOR""},{""value"":""Emory"",""label"":""Emory""},{""value"":""LATC"",""label"":""LATC""},{""value"":""MAP"",""label"":""MAP""},{""value"":""MARS"",""label"":""MARS""},{""value"":""Mayo Clinic"",""label"":""Mayo Clinic""},{""value"":""Mt Sinai Brain Bank"",""label"":""Mt Sinai Brain Bank""},{""value"":""NY Brain Bank"",""label"":""NY Brain Bank""},{""value"":""UPenn"",""label"":""UPenn""},{""value"":""ROS"",""label"":""ROS""},{""value"":""UFL"",""label"":""UFL""}]}"	AA	SB:amp_value_set	sb_fallback		AA; Banner; Biggs Institute Brain Bank; CLINCOR; Emory; LATC; MAP; MARS; Mayo Clinic; Mt Sinai Brain Bank; NY Brain Bank; UPenn; ROS; UFL
80	diagnosis	AMP-CMD	"{""name"":""diagnosis"",""type"":""string""}"	diagnosis_0001	AMP:pdrd/PD_Medical_History_dictionary.csv	amp_sourced		
81	diagnosis_type	AMP-CMD	"{""name"":""diagnosis_type"",""type"":""string"",""constraints"":{""enum"":[""Clinical"",""Pathological"",""Unknown""]},""categories"":[{""value"":""Clinical"",""label"":""Clinical""},{""value"":""Pathological"",""label"":""Pathological""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Clinical	SB:amp_value_set	sb_fallback		Clinical | Pathological | Unknown
91	ethnicity	AMP-CMD	"{""name"":""ethnicity"",""type"":""string"",""constraints"":{""enum"":[""Not Hispanic or Latino"",""Hispanic or Latino"",""Unknown""]},""categories"":[{""value"":""Not Hispanic or Latino"",""label"":""Not Hispanic or Latino""},{""value"":""Hispanic or Latino"",""label"":""Hispanic or Latino""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Not Hispanic or Latino	SB:amp_value_set	sb_fallback		Not Hispanic or Latino | Hispanic or Latino | Unknown
96	GUID	AMP-CMD	"{""name"":""GUID"",""type"":""string""}"	GUID_0001	AMP:pdrd/Caffeine_history_dictionary.csv	amp_sourced		
103	mod_schwab_england_pct_adl_score	AMP-CMD	"{""name"":""mod_schwab_england_pct_adl_score"",""type"":""integer"",""constraints"":{""minimum"":0,""maximum"":100}}"	50	SB:amp_value_set	sb_fallback		0 - 100
110	race	AMP-CMD	"{""name"":""race"",""type"":""string"",""constraints"":{""enum"":[""White"",""Black or African American"",""Native Hawaiian or Other Pacific Islander"",""Asian"",""American Indian or Alaska Native"",""Unknown"",""Multiracial""]},""categories"":[{""value"":""White"",""label"":""White""},{""value"":""Black or African American"",""label"":""Black or African American""},{""value"":""Native Hawaiian or Other Pacific Islander"",""label"":""Native Hawaiian or Other Pacific Islander""},{""value"":""Asian"",""label"":""Asian""},{""value"":""American Indian or Alaska Native"",""label"":""American Indian or Alaska Native""},{""value"":""Unknown"",""label"":""Unknown""},{""value"":""Multiracial"",""label"":""Multiracial""}]}"	White	AMP:pdrd/Demographics_dictionary.csv	amp_sourced		White | Black or African American | Native Hawaiian or Other Pacific Islander | Asian | American Indian or Alaska Native | Unknown | Multiracial
116	sex	AMP-CMD	"{""name"":""sex"",""type"":""string"",""constraints"":{""enum"":[""Male"",""Female"",""Unknown""]},""categories"":[{""value"":""Male"",""label"":""Male""},{""value"":""Female"",""label"":""Female""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Male	SB:amp_value_set	sb_fallback		Male;Female;Unknown
124	age_at_baseline	AMP-PD	"{""name"":""age_at_baseline"",""type"":""integer"",""constraints"":{""minimum"":19,""maximum"":100}}"	59	SB:amp_value_set	sb_fallback		19 - 100
126	alcohol_consumed_years	AMP-PD	"{""name"":""alcohol_consumed_years"",""type"":""number"",""constraints"":{""minimum"":1.0,""maximum"":51.0}}"	26.0	SB:amp_value_set + AMP:DataType=Float	sb_fallback		1 - 51
127	alcohol_consumption_change	AMP-PD	"{""name"":""alcohol_consumption_change"",""type"":""string"",""constraints"":{""enum"":[""Yes"",""No"",""Unknown""]},""categories"":[{""value"":""Yes"",""label"":""Yes""},{""value"":""No"",""label"":""No""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Yes	SB:amp_value_set	sb_fallback		Yes | No | Unknown
128	alcohol_current_use	AMP-PD	"{""name"":""alcohol_current_use"",""type"":""string"",""constraints"":{""enum"":[""Yes"",""No"",""Unknown""]},""categories"":[{""value"":""Yes"",""label"":""Yes""},{""value"":""No"",""label"":""No""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Yes	SB:amp_value_set	sb_fallback		Yes | No | Unknown
129	alcohol_drinks_daily_range	AMP-PD	"{""name"":""alcohol_drinks_daily_range"",""type"":""string""}"	alcohol_drinks_daily_range_0001	AMP:pdrd/Smoking_and_alcohol_history_dictionary.csv	amp_sourced		
130	alcohol_drinks_day	AMP-PD	"{""name"":""alcohol_drinks_day"",""type"":""number"",""constraints"":{""minimum"":0.0,""maximum"":10.0}}"	5.0	SB:amp_value_set + AMP:DataType=Float	sb_fallback		0 - 10
131	alcohol_ever_used	AMP-PD	"{""name"":""alcohol_ever_used"",""type"":""string"",""constraints"":{""enum"":[""Yes"",""No"",""Unknown""]},""categories"":[{""value"":""Yes"",""label"":""Yes""},{""value"":""No"",""label"":""No""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Yes	SB:amp_value_set	sb_fallback		Yes | No | Unknown
132	alcohol_inc_dec	AMP-PD	"{""name"":""alcohol_inc_dec"",""type"":""string"",""constraints"":{""enum"":[""Decrease"",""Increase""]},""categories"":[{""value"":""Decrease"",""label"":""Decrease""},{""value"":""Increase"",""label"":""Increase""}]}"	Decrease	SB:amp_value_set	sb_fallback		Decrease | Increase
133	alcohol_prior_use	AMP-PD	"{""name"":""alcohol_prior_use"",""type"":""string"",""constraints"":{""enum"":[""Yes"",""No"",""Unknown""]},""categories"":[{""value"":""Yes"",""label"":""Yes""},{""value"":""No"",""label"":""No""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Yes	SB:amp_value_set	sb_fallback		Yes | No | Unknown
134	alcohol_recent_use	AMP-PD	"{""name"":""alcohol_recent_use"",""type"":""string"",""constraints"":{""enum"":[""Yes"",""No"",""Unknown""]},""categories"":[{""value"":""Yes"",""label"":""Yes""},{""value"":""No"",""label"":""No""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Yes	SB:amp_value_set	sb_fallback		Yes | No | Unknown
135	alcohol_related_hospitalization	AMP-PD	"{""name"":""alcohol_related_hospitalization"",""type"":""string"",""constraints"":{""enum"":[""Yes"",""No"",""Unknown""]},""categories"":[{""value"":""Yes"",""label"":""Yes""},{""value"":""No"",""label"":""No""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Yes	SB:amp_value_set	sb_fallback		Yes | No | Unknown
136	alcohol_six_more_drinks_frequency	AMP-PD	"{""name"":""alcohol_six_more_drinks_frequency"",""type"":""string"",""constraints"":{""enum"":[""Never"",""Less than monthly"",""Unknown"",""Monthly"",""Daily or almost daily"",""Weekly""]},""categories"":[{""value"":""Never"",""label"":""Never""},{""value"":""Less than monthly"",""label"":""Less than monthly""},{""value"":""Unknown"",""label"":""Unknown""},{""value"":""Monthly"",""label"":""Monthly""},{""value"":""Daily or almost daily"",""label"":""Daily or almost daily""},{""value"":""Weekly"",""label"":""Weekly""}]}"	Never	SB:amp_value_set	sb_fallback		Never | Less than monthly | Unknown | Monthly | Daily or almost daily | Weekly
137	alcohol_start_age	AMP-PD	"{""name"":""alcohol_start_age"",""type"":""integer"",""constraints"":{""minimum"":1,""maximum"":75}}"	38	SB:amp_value_set	sb_fallback		1 - 75
138	alcohol_stop_age	AMP-PD	"{""name"":""alcohol_stop_age"",""type"":""integer"",""constraints"":{""minimum"":9,""maximum"":85}}"	47	SB:amp_value_set	sb_fallback		9 - 85
139	alcohol_use_frequency	AMP-PD	"{""name"":""alcohol_use_frequency"",""type"":""string""}"	alcohol_use_frequency_0001	AMP:pdrd/Smoking_and_alcohol_history_dictionary.csv	amp_sourced		
140	anosmia	AMP-PD	"{""name"":""anosmia"",""type"":""string"",""constraints"":{""enum"":[""Yes"",""No"",""NA""]},""categories"":[{""value"":""Yes"",""label"":""Yes""},{""value"":""No"",""label"":""No""},{""value"":""NA"",""label"":""NA""}]}"	Yes	SB:amp_value_set	sb_fallback		Yes | No | NA
141	auton_dys	AMP-PD	"{""name"":""auton_dys"",""type"":""string"",""constraints"":{""enum"":[""Yes"",""No"",""NA""]},""categories"":[{""value"":""Yes"",""label"":""Yes""},{""value"":""No"",""label"":""No""},{""value"":""NA"",""label"":""NA""}]}"	Yes	SB:amp_value_set	sb_fallback		Yes | No | NA
142	biological_father_with_pd	AMP-PD	"{""name"":""biological_father_with_pd"",""type"":""string"",""constraints"":{""enum"":[""No"",""Yes"",""Unknown""]},""categories"":[{""value"":""No"",""label"":""No""},{""value"":""Yes"",""label"":""Yes""},{""value"":""Unknown"",""label"":""Unknown""}]}"	No	SB:amp_value_set	sb_fallback		No | Yes | Unknown
143	biological_mother_with_pd	AMP-PD	"{""name"":""biological_mother_with_pd"",""type"":""string"",""constraints"":{""enum"":[""No"",""Yes"",""Unknown""]},""categories"":[{""value"":""No"",""label"":""No""},{""value"":""Yes"",""label"":""Yes""},{""value"":""Unknown"",""label"":""Unknown""}]}"	No	SB:amp_value_set	sb_fallback		No | Yes | Unknown
144	caff_drinks_current_use	AMP-PD	"{""name"":""caff_drinks_current_use"",""type"":""string"",""constraints"":{""enum"":[""Yes"",""No"",""Unknown""]},""categories"":[{""value"":""Yes"",""label"":""Yes""},{""value"":""No"",""label"":""No""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Yes	SB:amp_value_set	sb_fallback		Yes | No | Unknown
145	caff_drinks_ever_used_regularly	AMP-PD	"{""name"":""caff_drinks_ever_used_regularly"",""type"":""string"",""constraints"":{""enum"":[""Yes"",""No"",""Unknown""]},""categories"":[{""value"":""Yes"",""label"":""Yes""},{""value"":""No"",""label"":""No""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Yes	SB:amp_value_set	sb_fallback		Yes | No | Unknown
147	change_in_diagnosis	AMP-PD	"{""name"":""change_in_diagnosis"",""type"":""string"",""constraints"":{""enum"":[""No"",""Yes""]},""categories"":[{""value"":""No"",""label"":""No""},{""value"":""Yes"",""label"":""Yes""}]}"	No	SB:amp_value_set	sb_fallback		No | Yes
148	change_in_diagnosis_months_after_baseline	AMP-PD	"{""name"":""change_in_diagnosis_months_after_baseline"",""type"":""number""}"		AMP:pdrd/PD_Medical_History_dictionary.csv	amp_sourced		
149	cigarettes_packs_per_day	AMP-PD	"{""name"":""cigarettes_packs_per_day"",""type"":""string"",""constraints"":{""enum"":[""Unknown"",""0.5 pack or less"",""1 pack"",""0.5 pack"",""2 or more packs"",""1.5 pack""]},""categories"":[{""value"":""Unknown"",""label"":""Unknown""},{""value"":""0.5 pack or less"",""label"":""0.5 pack or less""},{""value"":""1 pack"",""label"":""1 pack""},{""value"":""0.5 pack"",""label"":""0.5 pack""},{""value"":""2 or more packs"",""label"":""2 or more packs""},{""value"":""1.5 pack"",""label"":""1.5 pack""}]}"	Unknown	SB:amp_value_set	sb_fallback		Unknown | 0.5 pack or less | 1 pack | 0.5 pack | 2 or more packs | 1.5 pack
150	cigarettes_per_day	AMP-PD	"{""name"":""cigarettes_per_day"",""type"":""string""}"	cigarettes_per_day_0001	AMP:pdrd/Smoking_and_alcohol_history_dictionary.csv	amp_sourced		
151	cigarettes_per_day_current	AMP-PD	"{""name"":""cigarettes_per_day_current"",""type"":""integer"",""constraints"":{""minimum"":0,""maximum"":250}}"	125	SB:amp_value_set	sb_fallback		0 - 250
152	cigarettes_per_day_past	AMP-PD	"{""name"":""cigarettes_per_day_past"",""type"":""number"",""constraints"":{""minimum"":0.0,""maximum"":80.0}}"	40.0	SB:amp_value_set + AMP:DataType=Float	sb_fallback		0 - 80
153	dat	AMP-PD	"{""name"":""dat"",""type"":""string"",""constraints"":{""enum"":[""Positive"",""Negative"",""NA""]},""categories"":[{""value"":""Positive"",""label"":""Positive""},{""value"":""Negative"",""label"":""Negative""},{""value"":""NA"",""label"":""NA""}]}"	Positive	SB:amp_value_set	sb_fallback		Positive | Negative | NA
154	datscan_visual_interpretation	AMP-PD	"{""name"":""datscan_visual_interpretation"",""type"":""string"",""constraints"":{""enum"":[""Positive"",""Negative""]},""categories"":[{""value"":""Positive"",""label"":""Positive""},{""value"":""Negative"",""label"":""Negative""}]}"	Positive	SB:amp_value_set	sb_fallback		Positive | Negative
155	diagnosis	AMP-PD	"{""name"":""diagnosis"",""type"":""string""}"	diagnosis_0001	AMP:pdrd/PD_Medical_History_dictionary.csv	amp_sourced		
157	diagnosis_type	AMP-PD	"{""name"":""diagnosis_type"",""type"":""string"",""constraints"":{""enum"":[""Clinical"",""Pathological"",""Unknown""]},""categories"":[{""value"":""Clinical"",""label"":""Clinical""},{""value"":""Pathological"",""label"":""Pathological""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Clinical	SB:amp_value_set	sb_fallback		Clinical | Pathological | Unknown
160	education_12years_complete	AMP-PD	"{""name"":""education_12years_complete"",""type"":""string"",""constraints"":{""enum"":[""Greater than 12 years of education"",""Less than or equal to 12 years of education""]},""categories"":[{""value"":""Greater than 12 years of education"",""label"":""Greater than 12 years of education""},{""value"":""Less than or equal to 12 years of education"",""label"":""Less than or equal to 12 years of education""}]}"	Greater than 12 years of education	AMP:pdrd/MOCA_dictionary.csv	amp_sourced		Greater than 12 years of education | Less than or equal to 12 years of education
161	education_level_years	AMP-PD	"{""name"":""education_level_years"",""type"":""string"",""constraints"":{""enum"":[""0 years"",""Less than 12 years"",""12-16 years"",""Greater than 16 years"",""Unknown""]},""categories"":[{""value"":""0 years"",""label"":""0 years""},{""value"":""Less than 12 years"",""label"":""Less than 12 years""},{""value"":""12-16 years"",""label"":""12-16 years""},{""value"":""Greater than 16 years"",""label"":""Greater than 16 years""},{""value"":""Unknown"",""label"":""Unknown""}]}"	0 years	SB:amp_value_set	sb_fallback		0 years | Less than 12 years | 12-16 years | Greater than 16 years | Unknown
162	enrollment_months_after_baseline	AMP-PD	"{""name"":""enrollment_months_after_baseline"",""type"":""number""}"		AMP:pdrd/Enrollment_dictionary.csv	amp_sourced		
163	ess0101_sitting_and_reading	AMP-PD	"{""name"":""ess0101_sitting_and_reading"",""type"":""string"",""constraints"":{""enum"":[""Would Never Doze"",""Slight Chance Of Dozing"",""Moderate Chance Of Dozing"",""High Chance Of Dozing""]},""categories"":[{""value"":""Would Never Doze"",""label"":""Would Never Doze""},{""value"":""Slight Chance Of Dozing"",""label"":""Slight Chance Of Dozing""},{""value"":""Moderate Chance Of Dozing"",""label"":""Moderate Chance Of Dozing""},{""value"":""High Chance Of Dozing"",""label"":""High Chance Of Dozing""}]}"	Would Never Doze	SB:amp_value_set	sb_fallback		Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing
164	ess0102_watching_tv	AMP-PD	"{""name"":""ess0102_watching_tv"",""type"":""string"",""constraints"":{""enum"":[""Would Never Doze"",""Slight Chance Of Dozing"",""Moderate Chance Of Dozing"",""High Chance Of Dozing""]},""categories"":[{""value"":""Would Never Doze"",""label"":""Would Never Doze""},{""value"":""Slight Chance Of Dozing"",""label"":""Slight Chance Of Dozing""},{""value"":""Moderate Chance Of Dozing"",""label"":""Moderate Chance Of Dozing""},{""value"":""High Chance Of Dozing"",""label"":""High Chance Of Dozing""}]}"	Would Never Doze	SB:amp_value_set	sb_fallback		Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing
165	ess0103_sitting_inactive_in_public_place	AMP-PD	"{""name"":""ess0103_sitting_inactive_in_public_place"",""type"":""string"",""constraints"":{""enum"":[""Would Never Doze"",""Slight Chance Of Dozing"",""Moderate Chance Of Dozing"",""High Chance Of Dozing""]},""categories"":[{""value"":""Would Never Doze"",""label"":""Would Never Doze""},{""value"":""Slight Chance Of Dozing"",""label"":""Slight Chance Of Dozing""},{""value"":""Moderate Chance Of Dozing"",""label"":""Moderate Chance Of Dozing""},{""value"":""High Chance Of Dozing"",""label"":""High Chance Of Dozing""}]}"	Would Never Doze	SB:amp_value_set	sb_fallback		Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing
166	ess0104_passenger_in_car_for_hour	AMP-PD	"{""name"":""ess0104_passenger_in_car_for_hour"",""type"":""string"",""constraints"":{""enum"":[""Would Never Doze"",""Slight Chance Of Dozing"",""Moderate Chance Of Dozing"",""High Chance Of Dozing""]},""categories"":[{""value"":""Would Never Doze"",""label"":""Would Never Doze""},{""value"":""Slight Chance Of Dozing"",""label"":""Slight Chance Of Dozing""},{""value"":""Moderate Chance Of Dozing"",""label"":""Moderate Chance Of Dozing""},{""value"":""High Chance Of Dozing"",""label"":""High Chance Of Dozing""}]}"	Would Never Doze	SB:amp_value_set	sb_fallback		Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing
167	ess0105_lying_down_to_rest_in_afternoon	AMP-PD	"{""name"":""ess0105_lying_down_to_rest_in_afternoon"",""type"":""string"",""constraints"":{""enum"":[""Would Never Doze"",""Slight Chance Of Dozing"",""Moderate Chance Of Dozing"",""High Chance Of Dozing""]},""categories"":[{""value"":""Would Never Doze"",""label"":""Would Never Doze""},{""value"":""Slight Chance Of Dozing"",""label"":""Slight Chance Of Dozing""},{""value"":""Moderate Chance Of Dozing"",""label"":""Moderate Chance Of Dozing""},{""value"":""High Chance Of Dozing"",""label"":""High Chance Of Dozing""}]}"	Would Never Doze	SB:amp_value_set	sb_fallback		Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing
168	ess0106_sitting_and_talking_to_someone	AMP-PD	"{""name"":""ess0106_sitting_and_talking_to_someone"",""type"":""string"",""constraints"":{""enum"":[""Would Never Doze"",""Slight Chance Of Dozing"",""Moderate Chance Of Dozing"",""High Chance Of Dozing""]},""categories"":[{""value"":""Would Never Doze"",""label"":""Would Never Doze""},{""value"":""Slight Chance Of Dozing"",""label"":""Slight Chance Of Dozing""},{""value"":""Moderate Chance Of Dozing"",""label"":""Moderate Chance Of Dozing""},{""value"":""High Chance Of Dozing"",""label"":""High Chance Of Dozing""}]}"	Would Never Doze	SB:amp_value_set	sb_fallback		Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing
169	ess0107_sitting_after_lunch	AMP-PD	"{""name"":""ess0107_sitting_after_lunch"",""type"":""string"",""constraints"":{""enum"":[""Would Never Doze"",""Slight Chance Of Dozing"",""Moderate Chance Of Dozing"",""High Chance Of Dozing""]},""categories"":[{""value"":""Would Never Doze"",""label"":""Would Never Doze""},{""value"":""Slight Chance Of Dozing"",""label"":""Slight Chance Of Dozing""},{""value"":""Moderate Chance Of Dozing"",""label"":""Moderate Chance Of Dozing""},{""value"":""High Chance Of Dozing"",""label"":""High Chance Of Dozing""}]}"	Would Never Doze	SB:amp_value_set	sb_fallback		Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing
170	ess0108_car_stopped_in_traffic	AMP-PD	"{""name"":""ess0108_car_stopped_in_traffic"",""type"":""string"",""constraints"":{""enum"":[""Would Never Doze"",""Slight Chance Of Dozing"",""Moderate Chance Of Dozing"",""High Chance Of Dozing""]},""categories"":[{""value"":""Would Never Doze"",""label"":""Would Never Doze""},{""value"":""Slight Chance Of Dozing"",""label"":""Slight Chance Of Dozing""},{""value"":""Moderate Chance Of Dozing"",""label"":""Moderate Chance Of Dozing""},{""value"":""High Chance Of Dozing"",""label"":""High Chance Of Dozing""}]}"	Would Never Doze	SB:amp_value_set	sb_fallback		Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing
