cde_id	source	amp_variable	amp_variable_description	amp_value_set	amp_extended_definition_comments	omop_concept_name	domain	omop_concept_class	omop_value_set	omop_value_as_strings	concept_comment	omop_vocab	datatype	units	omop_concept_id
15	AMP-AD	BrodmannArea	Brodmann area designation for brain tissue sample or region of interest	BA1 | BA2 | BA3 | BA4 | BA5 | BA6 | BA7 | BA8 | BA9 | BA10 | BA11 | BA17 | BA18 | BA19 | BA20 | BA21 | BA22 | BA24 | BA39 | BA40 | BA41 | BA42 | BA44 | BA45 | BA46 | BA47		Brodmann area	Spec Anatomic Site	Body Structure	37114881 | 37152194 | 37156623 | 37156628 | 37156629 |1243328 | 1243338 | 37156633 | 1243332 |1243277 | 37156634 | 37156635 | 1243340  1243279 37156636 1243336 37156646 1243322 1243275 1243330 37156647 37156648 37156652 37156653 37156654 37156655 37152199 37152200 37152201 37152202 37152203 37152204 37152205 37152206 37152207 1243334 1243278 37152208 1243276 1243326 37152209 1243271 1243324 37152210 37152211 37152212 1243320 37152213 37152214 37156656 37156657 37156658 37156659 37156662 37156663 37156665 37156666 37156668 37156669 37156670 37156671 4028249		""	SNOMED			4297704
16	AMP-AD	bScore	Braak Staging as Binned Values	Braak Stage I-II | Braak Stage III-IV | Braak Stage V-VI		Braak pathology staging for neurofibrillary degeneration in brain	Measurement	Staging / Scales			""	Nebraska Lexicon			3187187
17	AMP-AD	ceradsc	CERAD Score	1=Definite AD | 2=Probable AD | 3=Possible AD | 4=No AD	RADC data set 754 (ROSMAP). CERAD score: a semiquantitative measure of neuritic plaques. A neuropathologic diagnosis was made of no AD, possible AD, probable AD, or definite AD based on semiquantitative estimates of neuritic plaque density as recommended by the Consortium to Establish a Registry for Alzheimer's Disease (CERAD), modified to be implemented without adjustment for age and clinical diagnosis. A CERAD neuropathologic diagnosis of AD required moderate (probable AD) or frequent neuritic plaques (definite AD) in one or more neocortical regions. Diagnosis includes algorithm and neuropathologist's opinion, blinded to age and all clinical data. Value coding: 1=Definite; 2=Probable; 3=Possible; 4=No AD.	CERAD scoring for presence of neuritic plaques	Measurement	Staging / Scales			""	Nebraska Lexicon			3519134
18	AMP-AD	clinicalMetadataSource	Source system or repository from which clinical metadata was derived	Free text or controlled vocabulary of metadata sources		cdm_source	Metadata	Table			""	CDM			1147325
19	AMP-AD	cogdx	Final Consensus Cognitive Diagnosis	1=NCI: No cognitive impairment (No impaired domains); 2=MCI: Mild cognitive impairment (One impaired domain) and NO other cause of CI; 3=MCI: Mild cognitive impairment (One impaired domain) AND another cause of CI; 4=AD: Alzheimer's dementia and NO other cause of CI (NINCDS PROB AD); 5=AD: Alzheimer's dementia AND another cause of CI (NINCDS POSS AD); 6=Other dementia: Other primary cause of dementia	RADC data set 754 (ROSMAP). Clinical consensus diagnosis of cognitive status at time of death; physician's overall cognitive diagnostic category. At the time of death, all available clinical data were reviewed by a neurologist with expertise in dementia, and a summary diagnostic opinion was rendered regarding the most likely clinical diagnosis at the time of death. Summary diagnoses were made blinded to all postmortem data. Case conferences including one or more neurologists and a neuropsychologist were used for consensus on selected cases. Value coding: 1=NCI: No cognitive impairment (No impaired domains); 2=MCI: Mild cognitive impairment (One impaired domain) and NO other cause of CI; 3=MCI: Mild cognitive impairment (One impaired domain) AND another cause of CI; 4=AD: Alzheimer's dementia and NO other cause of CI (NINCDS PROB AD); 5=AD: Alzheimer's dementia AND another cause of CI (NINCDS POSS AD); 6=Other dementia: Other primary cause of dementia.	Cognitive function finding	Observation	Clinical Finding			""	SNOMED			4162723
20	AMP-AD	cohort	Cohort Identifier	required		cohort.cohort_definition_id	Metadata	Field			""	CDM			1147657
21	AMP-AD	cts_mmse30_first_ad_dx	Mini-Mental State Examination (MMSE-30) score at first Alzheimer's disease diagnosis	0-30		Mini-mental state examination	Measurement	Staging / Scales			""	SNOMED			4169175
22	AMP-AD	cts_mmse30_lv	Mini-Mental State Examination (MMSE-30) total score at last visit	0-30		Mini-Mental State Examination [MMSE]	Observation	Survey			""	LOINC			42869861
24	AMP-AD	dcfdx	Clinical Cognitive Diagnosis Summary	1=NCI: No cognitive impairment | 2=MCI: Mild cognitive impairment, no other condition contributing to CI | 3=MCI+: Mild cognitive impairment AND another condition contributing to CI | 4=AD: Alzheimer's dementia, no other condition contributing to CI (NINCDS/ADRDA Probable AD) | 5=AD+: Alzheimer's dementia AND other condition contributing to CI (NINCDS/ADRDA Possible AD) | 6=Other dementia: Other primary cause of dementia, no clinical evidence of Alzheimer's dementia	RADC data set 754 (ROSMAP). Clinical diagnosis of cognitive status (Alzheimer's dementia, other dementia, MCI, or no impairment). A clinical diagnosis of cognitive status is rendered at every assessment based on a three-stage process: computer scoring of cognitive tests, clinical judgment by a neuropsychologist, and diagnostic classification by a clinician. All participants undergo a uniform, structured clinical evaluation including a battery of 19 cognitive tests. Clinical diagnosis of dementia and clinical Alzheimer's dementia are based on NINCDS/ADRDA criteria; the diagnosis of Alzheimer's dementia requires evidence of a meaningful decline in cognitive function relative to a previous level of performance with impairment in memory and at least one other area of cognition. MCI is rendered for persons judged to have cognitive impairment by the neuropsychologist but judged not to meet criteria for dementia by the clinician. Persons diagnosed with MCI or Alzheimer's dementia may also be diagnosed with another condition that contributes to their cognitive impairment (CI). Persons without dementia or MCI are categorized as having no cognitive impairment (NCI). Value coding: 1=NCI: No cognitive impairment; 2=MCI: Mild cognitive impairment, no other condition contributing to CI; 3=MCI+: Mild cognitive impairment AND another condition contributing to CI; 4=AD: Alzheimer's dementia, no other condition contributing to CI (NINCDS/ADRDA Probable AD); 5=AD+: Alzheimer's dementia AND other condition contributing to CI (NINCDS/ADRDA Possible AD); 6=Other dementia: Other primary cause of dementia, no clinical evidence of Alzheimer's dementia. Other forms: _l, _lv, _bl.	Change in cognitive status [Minimum Data Set]	Observation	Survey	Deteriorated | Improved | No change		""	LOINC			3046931
25	AMP-AD	dcfdx_lv	Lewy Body Variant Diagnostic Indicator	Categorical values indicating presence or classification of Lewy body variant pathology		Lewy Body Dementia Association criteria for diagnosis of LBD	Measurement	Staging / Scales			""	Nebraska Lexicon			3185659
26	AMP-AD	derivedOutcomeBasedOnMayoDx	Derived clinical outcome classification based on Mayo Clinic diagnostic criteria	Categorical values determined by Mayo diagnostic algorithm		Clinical Outcomes in Routine Evaluation Outcome Measure	Measurement	Staging / Scales			""	SNOMED			44797771
27	AMP-AD	diagnosis	The diagnosis is an opportunity for the site investigator to give their opinion on a participant's most likely clinical diagnosis, regardless of cohort. The diagnosis may change over time because the site investigator may update the diagnosis at every longitudinal visit based on their opinion.ś	At-Risk RA | CLE | LN | OA | PsA | PsO | RA | SLE | SjD | control | dermatomyositis | scleroderma | vitiligo		Diagnosis	Observation	Observable Entity			""	SNOMED			4234469
28	AMP-AD	educ	Years of Education	Range: 0-30	RADC data set 754 (ROSMAP). Years of education. Based on the number of years of regular school reported at baseline cognitive testing.	Years of education [#] - Reported	Observation	Clinical Observation			""	LOINC/Observation/S			42528764
29	AMP-AD	ethnicity	Ethnicity	Not Hispanic or Latino | Hispanic or Latino | Unknown		Ethnicity OMB.1997	Observation	Clinical Observation	Hispanic or Latino | Not Hispanic or Latino		""	LOINC			40771985
30	AMP-AD	exclude	Flag indicating whether data should be excluded from analysis	True | False | 1 | 0		Exclude	Meas Value	Qualifier Value			""	SNOMED			4300886
31	AMP-AD	excludeReason	Reason for exclusion from study or analysis	Text or enumerated value describing exclusion criteria		Reason for not enrolling in clinical trial or study	Observation	Question			""	CIEL			45935481
32	AMP-AD	fastingState	Indicates whether the subject was in a fasting state at the time of specimen collection or clinical assessment	Fasted | Non-Fasted | Unknown		Fasting status - Reported	Observation	Clinical Observation			""	LOINC			3031632
33	AMP-AD	GUID	Global Unique ID (USUBJID)			Participant identifier	Observation	Clinical Observation			""	LOINC			42528934
34	AMP-AD	individualID	Unique identifier assigned to each study participant. For multi-specimen data files provide all IDs in a comma-separated list.	Must be unique across the study; for multi-specimen data files provide all IDs in a comma-separated list		Participant identifier	Observation	Clinical Observation			""	LOINC			42528934
35	AMP-AD	isHispanic	Hispanic or Latino ethnicity indicator	True | False | 1 | 0		Hispanic or Latino	Ethnicity	Ethnicity			""	Ethnicity			38003563
36	AMP-AD	isPostMortem	Indicator of whether the data or sample was collected post-mortem	True | False		Post mortem sample	Observation	Clinical Finding			""	SNOMED			44808081
37	AMP-AD	mayoDx	Mayo Clinic neuropathological diagnosis	Controlled vocabulary of Mayo Clinic diagnostic categories		Neuropathology	Observation	Qualifier Value			""	SNOMED			4215130
