cde_id	source	amp_variable	amp_variable_description	amp_value_set	amp_extended_definition_comments	omop_concept_name	domain	omop_concept_class	omop_value_set	omop_value_as_strings	concept_comment	omop_vocab	datatype	units	omop_concept_id
95	AMP-CMD	Fibrosis.stage	Histological stage of liver fibrosis	F0 (No fibrosis) | F1 (Portal fibrosis) | F2 (Periportal fibrosis) | F3 (Bridging fibrosis) | F4 (Cirrhosis)		Fibrosis stage	Measurement	Lab Test	Bridging fibrosis with many septa | Bridging with fibrosis with few septa | Cirrhosis | No fibrosis | Portal fibrosis		""	LOINC			3048563
96	AMP-CMD	GUID	Global Unique ID (USUBJID)			Participant identifier	Observation	Clinical Observation			""	LOINC			42528934
97	AMP-CMD	height	Standing height of subject.			Standing height	Measurement	Observable Entity			""	SNOMED	numeric		4093975
98	AMP-CMD	Hepatocyte.necrosis	Presence or severity of hepatocyte necrosis observed in liver tissue	Absent;Minimal;Mild;Moderate;Severe		Hepatic necrosis	Condition	Disorder			""	SNOMED			4337543
99	AMP-CMD	hypertension	Indicator of hypertension diagnosis or presence of high blood pressure	True, False, Yes, No, 1, 0		Hypertensive disorder	Condition	Disorder			""	SNOMED			316866
100	AMP-CMD	ID	Unique identifier assigned to each study participant	Must be unique across all participants		Participant identifier	Observation	Clinical Observation			""	LOINC			42528934
101	AMP-CMD	is_primary_data	Indicator of whether the data represents primary source data	true, false		Information source for data [PCORnet]	Observation	Survey	Healthcare delivery setting | No information | Other | Patient reported | Unknown		""	LOINC			46235134
102	AMP-CMD	Lobular.inflammation	Assessment of inflammatory infiltrate within hepatic lobules	0=None, 1=Minimal, 2=Mild, 3=Moderate, 4=Severe		Chronic lobular hepatitis	Condition	Disorder			""	SNOMED			4238978
103	AMP-CMD	mod_schwab_england_pct_adl_score	Modified Schwab And England Percent ADL Score	0 - 100		Schwab England activities of daily living scale [UPDRS]	Measurement	Clinical Observation	46237986 | 46237868 | 46237462 | 46237460 | 46238168 | 46237987 | 46237458 | 46237459 | 46237461 | 46238061 | 46238060	With effort, now and then does a few chores alone or begins alone. Much help needed | More dependent. Help with half, slower, etc. Difficulty with everything. | Nothing alone. Can be a slight help with some chores. Severe invalid | Some dependency. Can do most chores, but exceedingly slowly and with much effort. Errors; some impossible | Totally dependent, helpless. Complete invalid | Vegetative functions such as swallowing, bladder and bowel functions are not functioning. Bedridden | Completely independent. Able to do all chores with some degree of slowness, difficulty and impairment. Might take twice as long. Beginning to be aware of difficulty | Completely independent in most chores. Takes twice as long. Conscious of difficulty and slowness | Very dependent. Can assist with all chores, but few alone | Not completely independent. More difficulty with some chores. Three to four times as long in some. Must spend a large part of the day with chores | Completely independent. Able to do all chores without slowness, difficulty or impairment. Essentially normal. Unaware of any difficulty	""	LOINC			46236405
104	AMP-CMD	modality	Type or method of clinical assessment, diagnostic procedure, or imaging technique used	Free text or controlled vocabulary (e.g., MRI, CT, Ultrasound, Clinical Examination, Laboratory Test, Questionnaire)		Assessment/tracking type	Observation	Survey			""	LOINC			40757633
105	AMP-CMD	observation_joinid	Observation Join Identifier	Unique identifier		Participant identifier	Observation	Clinical Observation			""	LOINC			42528934
106	AMP-CMD	organ__ontology_label	Organ Ontology Label	Text value from standardized ontology		Please specify organ.	Observation	Question			""	PPI			596878
107	AMP-CMD	organism	Organism that biosample originated from. Organism meta-data record must already exist in CMDGA	Homo sapiens | Mus musculus | Rattus norvegicus		Organism	Observation	Organism			""	SNOMED			4259632
108	AMP-CMD	phase	Study phase or disease phase indicator	String		Disease phases	Meas Value	Qualifier Value			""	SNOMED			4121977
109	AMP-CMD	Portal.inflammation	Measurement or assessment of inflammation in portal region	Numeric value or scale score		Portal triaditis	Condition	Disorder			""	SNOMED			4066291
110	AMP-CMD	race	Race	White | Black or African American | Native Hawaiian or Other Pacific Islander | Asian | American Indian or Alaska Native | Unknown | Multiracial		Race	Observation	Clinical Observation	American Indian or Alaska Native | American Indian/Alaskan Native | Asian | Asian Indian | Black or African American | Black/African American | I choose not to answer this question | Multiple races | Native Hawaiian | Native Hawaiian or Other Pacific Islander | Other | Other Pacific Islander | Pacific Islander | Prefer not to say | Samoan or Native Hawaiian | Unknown | White		""	LOINC			3046853
111	AMP-CMD	region	Anatomical or geographical region associated with the observation or sample	Free text or controlled vocabulary		Anatomy reference area	Spec Anatomic Site	Body Structure			""	SNOMED			37397738
112	AMP-CMD	sample	Biological sample identifier	String		Sample identification number	Observation	Observable Entity			""	SNOMED			4163138
113	AMP-CMD	sample_id	Sample Identifier	String		Sample identification number	Observation	Observable Entity			""	SNOMED			4163138
114	AMP-CMD	sample_type	Type of biospecimen used for analysis, e.g. CSF, Plasma, Serum, Blood, RNA	CSF, Plasma, RNA, Serum		specimen.specimen_concept_id					""				1147051
115	AMP-CMD	self_reported_ethnicity_ontology_term_id	Ontology term identifier for participant's self-reported ethnicity	Ontology term ID (e.g., HANCESTRO, NCIT, or other standardized ethnicity ontology)		Ethnicity	Observation	Qualifier Value			""	SNOMED			44803968
116	AMP-CMD	sex	Sex	Male | Female | Intersex | Unknown		Recorded sex or gender	Observation	Clinical Observation	< | F | M | X		""	LOINC			1988369
117	AMP-CMD	sex_ontology_term_id	Ontology term identifier for biological sex	Valid ontology term ID (e.g., PATO:0000383 for female, PATO:0000384 for male)		Sex assigned at birth	Observation	Clinical Observation	Female | Male | Unknown		""	LOINC			46235213
118	AMP-CMD	species	Species of organism	Homo sapiens | Mus musculus | Rattus norvegicus		Organism	Observation	Organism			""	SNOMED			4259632
119	AMP-CMD	Steatosis.grade	Histological grade of hepatic steatosis	0-3 (0=<5% hepatocytes affected, 1=5-33%, 2=34-66%, 3=>66%)		Liver steatosis grade in Serum or Plasma Qualitative	Measurement	Lab Test	S0 | S1 | S2S3		""	LOINC			1001762
120	AMP-CMD	study_arm	Cohort (PD, healthy control, subjects with Scans Without Evidence of Dopaminergic Deficit [SWEDD], Prodromal, Genetic Cohort PD, or Genetic Cohort Unaffected) determined by the inclusion/exclusion criteria established in the study protocol. A given participant's cohort does not change over time, even if the participant develops or is later found to have characteristics of another cohort .			Clinical trial arm	Observation	Observable Entity			""	SNOMED			618771
121	AMP-CMD	tissue	Tissue the biosample is a component of	Enumerated: adipose tissue, liver tissue, muscle tissue, pancreatic tissue, kidney tissue, other		specimen.specimen_concept_id					""				1147051
122	AMP-CMD	tissue__ontology_label	Tissue Ontology Label	Ontology-based standardized tissue type label		Please specify tissue.	Observation	Question			""	PPI			596879
123	AMP-CMD	tissue_type	Type of tissue collected or analyzed	Enumeration: adipose tissue, liver tissue, skeletal muscle, pancreatic tissue, blood vessel, kidney tissue, heart tissue, brain tissue, skin, other		specimen.specimen_concept_id					""				1147051
124	AMP-PD	age_at_baseline	Age At Baseline	19 - 100		Age at event | Baseline	Observation | Meas Value	Clinical Observation | Answer	Circulatory assist status [Identifier] | NIH stroke scale interval [NIH Stroke Scale]		""	(composite)			35815526|45884169
125	AMP-PD	age_at_diagnosis_pd	Age At Parkinson's Disease Diagnosis			About how old were you when you were first told you had Parkinson's disease?	Observation	Question	About how old were you when you were first told you had Parkinson's disease? - Adolescent (12-17) | About how old were you when you were first told you had Parkinson's disease? - Adult (18-64) | About how old were you when you were first told you had Parkinson's disease? - Child (0-11) | About how old were you when you were first told you had Parkinson's disease? - Elderly (75+) | About how old were you when you were first told you had Parkinson's disease? - Older adult (65-74)		""	PPI			43530536
126	AMP-PD	alcohol_consumed_years	How many years consumed alcohol heavily in the past?	1 - 51		Number of years alcohol consumed [Time]	Observation	Clinical Observation			""	LOINC			44786670
127	AMP-PD	alcohol_consumption_change	Has your alcohol consumption changed over the past 10 years?	Yes | No | Unknown		Alcohol intake versus 10 years previously	Observation	Question	About the same | Do not know | Less nowadays | More nowadays | Prefer not to answer		""	UK Biobank			35810233
128	AMP-PD	alcohol_current_use	Currentl alcohol use indicator	Yes | No | Unknown		Current drinker	Observation	Clinical Finding			""	SNOMED			4074035
129	AMP-PD	alcohol_drinks_daily_range	Alcohol drinking day average drinks consumed range			Amount of alcohol drunk on a typical drinking day	Observation	Question	1 or 2 | 10 or more | 3 or 4 | 5 or 6 | 7, 8 or 9 | Prefer not to answer		""	UK Biobank			35811099
130	AMP-PD	alcohol_drinks_day	How many drinks do you have on an average day?	0 - 10		How many standard drinks containing alcohol do you have on a typical day	Observation	Clinical Observation	1 or 2 | 10 or more | 3 or 4 | 5 or 6 | 7 to 9 | Average Daily Drink Count: 1 or 2 | Average Daily Drink Count: 10 or More | Average Daily Drink Count: 3 or 4 | Average Daily Drink Count: 5 or 6 | Average Daily Drink Count: 7 to 9		""	LOINC			40771104
131	AMP-PD	alcohol_ever_used	Indicator of whether subject has ever used alcohol	Yes | No | Unknown		History of Alcohol use	Observation	Clinical Observation			""	LOINC			3027199
132	AMP-PD	alcohol_inc_dec	Has there been a general increase or decrease in your consumption over a 10-year period.	Decrease | Increase		Alcohol intake versus 10 years previously	Observation	Question	About the same | Do not know | Less nowadays | More nowadays | Prefer not to answer		""	UK Biobank			35810233
133	AMP-PD	alcohol_prior_use	Indicator of the participant's/subject's alcohol consumption prior to the past 12 months	Yes | No | Unknown		History of Alcohol use	Observation	Clinical Observation			""	LOINC			3027199
134	AMP-PD	alcohol_recent_use	Participant (subject) alcohol consumption past 12 months	Yes | No | Unknown		How often do you have a drink containing alcohol	Observation	Clinical Observation			""	LOINC/Observation/S			40771103
135	AMP-PD	alcohol_related_hospitalization	Indicator of whether the participant/subject has been hospitalized for an alcohol-related problem (i.e., esophageal varices, delirium tremens (DTs), cirrhosis and others)	Yes | No | Unknown		Alcohol related disorders | Hospitalization	Meas Value | Condition	Answer | 3-char nonbill code	Hospitalized or emergency room [ESRD] | Most important health event to avoid | Type of complication		""	(composite)			1568095|45884746
136	AMP-PD	alcohol_six_more_drinks_frequency	Alcohol consume six or more drinks frequency	Never | Less than monthly | Unknown | Monthly | Daily or almost daily | Weekly		Frequency of consuming six or more units of alcohol	Observation	Question	Daily or almost daily | Less than monthly | Monthly | Never | Prefer not to answer | Weekly		""	UK Biobank			35811112
137	AMP-PD	alcohol_start_age	Age in years when participant/subject started ingesting alcoholic beverages, including social drinking	1 - 75		About how old were you when you first started drinking, not counting small tastes or sips of alcohol [PhenX]	Observation	Clinical Observation			""	LOINC			40766358
138	AMP-PD	alcohol_stop_age	Age in years when participant/subject stopped ingesting alcoholic beverages, including social drinking	9 - 85		Age when stopped substance abuse	Observation	Clinical Observation			""	LOINC			36031408
139	AMP-PD	alcohol_use_frequency	The frequency of consumption of alcohol by the participant			Frequency of drinking alcohol	Observation	Question	2 to 3 times a week | 2 to 4 times a month | 4 or more times a week | Monthly or less | Never | Prefer not to answer		""	UK Biobank			35811110
140	AMP-PD	anosmia	Anosmia (per history or smell test)	Yes | No | NA		Loss of sense of smell	Condition	Clinical Finding			""	SNOMED/Condition/S			4185711
141	AMP-PD	auton_dys	Severe dysautonomia (e.g. constipation requiring medications, urinary incontinence, orthostatic hypotension, anhidrosis)	Yes | No | NA		Disorder of autonomic nervous system | Severe	Observation | Condition	Disorder			""	SNOMED			434633|4087703
142	AMP-PD	biological_father_with_pd	Father Has Or Had Parkinson's Disease	No | Yes | Unknown		Family history with explicit context pertaining to father	Observation	Context-dependent	Diagnosed Health Condition: Father Nervous Condition | Including yourself, who in your family has had Parkinson's disease? Select all that apply.		""	SNOMED/Observation/S			4051256
143	AMP-PD	biological_mother_with_pd	Mother Has Or Had Parkinson's Disease	No | Yes | Unknown		Family history with explicit context pertaining to mother	Observation	Context-dependent	Diagnosed Health Condition: Mother Nervous Condition | Including yourself, who in your family has had Parkinson's disease? Select all that apply.		""	SNOMED/Observation/S			4051255
144	AMP-PD	caff_drinks_current_use	Current regular caffeinated drinks use indicator	Yes | No | Unknown		Currently | Caffeine intake	Observation	Observable Entity | Qualifier Value			""	(composite)			3236863|37153131
145	AMP-PD	caff_drinks_ever_used_regularly	Indicator of whether subject has evere used caffeinated drinks	Yes | No | Unknown		Caffeine intake	Observation	Observable Entity			""	SNOMED			37153131
146	AMP-PD	case_control_other_at_baseline	Case-Control-Other Status at Baseline	Case, Control, Other		Case control study | Baseline	Observation | Meas Value	Qualifier Value | Answer	Circulatory assist status [Identifier] | NIH stroke scale interval [NIH Stroke Scale]		""	(composite)			44804212|45884169
147	AMP-PD	change_in_diagnosis	Change In Diagnosis Indicator	No | Yes		Revised diagnosis	Observation	Qualifier Value			""	SNOMED			4049904
148	AMP-PD	change_in_diagnosis_months_after_baseline	Number of months after baseline visit at which Change in Diagnosis occurred; negative values indicate Change in Diagnosis occurred before baseline			Revised diagnosis | Baseline time	Observation	Qualifier Value | Clinical Observation			""	(composite)			4049904|40766819
149	AMP-PD	cigarettes_packs_per_day	Average number packs of cigarettes smoked daily	Unknown | 0.5 pack or less | 1 pack | 0.5 pack | 2 or more packs | 1.5 pack		On the average of the entire time you smoked, how many cigarettes did you smoke per day [PhenX]	Observation	Clinical Observation			""	LOINC/Observation/S			40766930
150	AMP-PD	cigarettes_per_day	Average number cigarettes smoked daily			On the average of the entire time you smoked, how many cigarettes did you smoke per day [PhenX]	Observation	Clinical Observation			""	LOINC/Observation/S			40766930
151	AMP-PD	cigarettes_per_day_current	Current smokers: average number cigarettes per day?	0 - 250		Number of cigarettes currently smoked daily (current cigarette smokers)	Observation	Question	Do not know | Less than one a day | Prefer not to answer		""	UK Biobank			35810373
152	AMP-PD	cigarettes_per_day_past	Past smokers: average number of cigarettes smoked daily?	0 - 80		Number of cigarettes previously smoked daily	Observation	Question	Do not know | Less than one a day		""	UK Biobank			35810326
153	AMP-PD	dat	Dopamine transporter scan result	Positive | Negative | NA		Single photon emission computed tomography for dopamine transport	Procedure	Procedure			""	SNOMED			4327116
154	AMP-PD	datscan_visual_interpretation	DaTSCAN SPECT Visual Interpretation Assessment Report	Positive | Negative		Single photon emission computed tomography for dopamine transport	Procedure	Procedure			""	SNOMED			4327116
155	AMP-PD	diagnosis	The diagnosis is an opportunity for the site investigator to give their opinion on a participant's most likely clinical diagnosis, regardless of cohort. The diagnosis may change over time because the site investigator may update the diagnosis at every longitudinal visit based on their opinion.ś	At-Risk RA, CLE, LN, OA, PsA, PsO, RA, SLE, SjD, control, dermatomyositis, scleroderma, vitiligo		Diagnosis	Observation	Observable Entity			""	SNOMED			4234469
156	AMP-PD	diagnosis_at_baseline	Diagnosis at Baseline	Controlled vocabulary of diagnoses; specific values depend on disease area		Diagnosis + Baseline (composite)	Observation | Meas Value	Observable Entity | Answer	Circulatory assist status [Identifier] | NIH stroke scale interval [NIH Stroke Scale]		""	SNOMED | LOINC			4234469|45884169
157	AMP-PD	diagnosis_type	How was diagnosis made?	Clinical | Pathological | Unknown		Diagnosis type	Observation	Clinical Observation	Admitting diagnosis | Autopsy diagnosis | Clinical diagnosis | Cytology diagnosis | Death diagnosis | Diagnosis of exclusion | Differential diagnosis | Established diagnosis | Final diagnosis (discharge) | Laboratory diagnosis | Morphologic diagnosis | Palpatory diagnosis | Pathology diagnosis | Post-op diagnosis | Pre-op diagnosis | Preliminary diagnosis | Principal diagnosis | Prior diagnosis | Referral diagnosis | Revised diagnosis | Secondary diagnosis | Segmental diagnosis | Suggested billing diagnosis | Transfer admissions diagnosis | Transfer diagnosis | Working diagnosis | X-ray diagnosis		""	LOINC			1988354
159	AMP-PD	dti_measure	Brain tissue being measured			Brain tissue	Observation	Substance			""	SNOMED			4104285
160	AMP-PD	education_12years_complete	Indicator Of Whether Subject Has Completed 12 Years Of Education	Greater than 12 years of education | Less than or equal to 12 years of education		Education completion status	Observation	Clinical Observation	Not neccessary | Not performed | Performed on (specify date) | Scheduled for (specify date)		""	LOINC			36031310
161	AMP-PD	education_level_years	Education Level Years	0 years | Less than 12 years | 12-16 years | Greater than 16 years | Unknown		Years of education [#] - Reported	Observation	Clinical Observation			""	LOINC/Observation/S			42528764
162	AMP-PD	enrollment_months_after_baseline	Number of months after baseline visit at which Enrollment occurred; negative values indicate Enrollment occurred before baseline			Trial enrollment date | Baseline	Observation | Meas Value	Clinical Observation | Answer	Circulatory assist status [Identifier] | NIH stroke scale interval [NIH Stroke Scale]		""	(composite)			42528933|45884169
163	AMP-PD	ess0101_sitting_and_reading	ESS - Sitting And Reading (ESS0101)	Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing		Epworth Sleepiness Scale	Measurement	Staging / Scales			""	SNOMED			46273534
164	AMP-PD	ess0102_watching_tv	ESS - Watching TV (ESS0102)	Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing		Epworth Sleepiness Scale	Measurement	Staging / Scales			""	SNOMED			46273534
165	AMP-PD	ess0103_sitting_inactive_in_public_place	ESS - Sitting, Inactive In A Public Place (ESS0103)	Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing		Epworth Sleepiness Scale	Measurement	Staging / Scales			""	SNOMED			46273534
166	AMP-PD	ess0104_passenger_in_car_for_hour	ESS - As A Passenger In A Car For An Hour Without A Break (ESS0104)	Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing		Epworth Sleepiness Scale	Measurement	Staging / Scales			""	SNOMED			46273534
167	AMP-PD	ess0105_lying_down_to_rest_in_afternoon	ESS - Lying Down To Rest In The Afternoon When Circumstances Permit (ESS0105)	Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing		Epworth Sleepiness Scale	Measurement	Staging / Scales			""	SNOMED			46273534
168	AMP-PD	ess0106_sitting_and_talking_to_someone	ESS - Sitting And Talking To Someone (ESS0106)	Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing		Epworth Sleepiness Scale	Measurement	Staging / Scales			""	SNOMED			46273534
169	AMP-PD	ess0107_sitting_after_lunch	ESS - Sitting Quietly After A Lunch Without Alcohol (ESS0107)	Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing		Epworth Sleepiness Scale	Measurement	Staging / Scales			""	SNOMED			46273534
170	AMP-PD	ess0108_car_stopped_in_traffic	ESS - In A Car, While Stopped For A Few Minutes In The Traffic (ESS0108)	Would Never Doze | Slight Chance Of Dozing | Moderate Chance Of Dozing | High Chance Of Dozing		Epworth Sleepiness Scale	Measurement	Staging / Scales			""	SNOMED			46273534
171	AMP-PD	ess_info_source	ESS - Primary Source Of Information	Patient | Patient and Caregiver | Caregiver		Information source	Measurement	Clinical Observation			""	LOINC			3048270
172	AMP-PD	ess_summary_score	Epworth Sleepiness Scale (ESS) - Total Score	0 - 24		Epworth Sleepiness Scale | Summated scale score	Measurement	Staging / Scales			""	SNOMED/Measurement/S			46273534|4090444
173	AMP-PD	ethnicity	Ethnicity	Not Hispanic or Latino | Hispanic or Latino | Unknown		Ethnicity OMB.1997	Observation	Clinical Observation	Hispanic or Latino | Not Hispanic or Latino		""	LOINC			40771985
174	AMP-PD	exec_dys	Executive dysfunction, such as bradyphrenia, set shifting impairment, impaired attention/planning	Yes | No | NA		Impaired executive functioning	Condition	Clinical Finding			""	SNOMED			42537141
175	AMP-PD	fluc_cogn	Fluctuating cognition	Yes | No | NA		Fluctuating | Cognitive function finding	Observation | Meas Value	Clinical Finding | Qualifier Value			""	(composite)			4113281|4162723
176	AMP-PD	genetic	Other genetic data available on patient	Exome | SNP chip | Other | NA		Availability of | Genetic finding	Condition | Observation	Clinical Finding | Qualifier Value			""	(composite)			4011951|4025367
177	AMP-PD	GUID	Global Unique ID (USUBJID)			Participant identifier	Observation	Clinical Observation			""	LOINC			42528934
178	AMP-PD	informed_consent_months_after_baseline	Number of months after baseline visit at which Informed Consent occurred; negative values indicate Informed Consent occurred before baseline			Informed consent obtained | Collection interval from baseline of Unspecified specimen	Observation | Measurement	Clinical Observation | Lab Test	No | Unknown | Yes		""	(composite)			3018196|3029815
179	AMP-PD	initial_diagnosis	Initial Diagnosis			Diagnosis | First	Observation	Observable Entity			""	SNOMED			4234469|4112230
180	AMP-PD	mds_updrs_part_i_pat_quest_primary_info_source	MDS-UPDRS Part I Patient Questionnaire Primary Source Of Information	Patient | Patient and Caregiver - Equal Proportion | Caregiver		MDS-UPDRS	Observation	Observable Entity	Mild. Consistent forgetfulness with partial recollection of events and no other difficulties | Moderate memory loss, with disorientation and moderate difficulty handling complex problems, Mild but definite impairment of function at home with need of occasional prompting | None | Severe memory loss with disorientation for time and often to place. Severe impairment in handling problems | Severe memory loss with orientation preserved to person only. Unable to make judgments or solve problems. Requires much help with personal care. Cannot be left alone at all		""	CDISC			37537169
181	AMP-PD	mds_updrs_part_i_pat_quest_sub_score	MDS-UPDRS Part I Patient Questionnaire Questions 7-13 Summary Sub-Score	0 - 24		MDS-UPDRS | Subscale score	Observation	Observable Entity	Mild. Consistent forgetfulness with partial recollection of events and no other difficulties | Moderate memory loss, with disorientation and moderate difficulty handling complex problems, Mild but definite impairment of function at home with need of occasional prompting | None | Severe memory loss with disorientation for time and often to place. Severe impairment in handling problems | Severe memory loss with orientation preserved to person only. Unable to make judgments or solve problems. Requires much help with personal care. Cannot be left alone at all		""	CDISC			37537169|4088611
182	AMP-PD	mds_updrs_part_i_primary_info_source	MDS-UPDRS Part I Questions 1-6 Primary Source Of Information	Patient | Patient and Caregiver - Equal Proportion | Caregiver		MDS-UPDRS	Observation	Observable Entity	Mild. Consistent forgetfulness with partial recollection of events and no other difficulties | Moderate memory loss, with disorientation and moderate difficulty handling complex problems, Mild but definite impairment of function at home with need of occasional prompting | None | Severe memory loss with disorientation for time and often to place. Severe impairment in handling problems | Severe memory loss with orientation preserved to person only. Unable to make judgments or solve problems. Requires much help with personal care. Cannot be left alone at all		""	CDISC			37537169
183	AMP-PD	mds_updrs_part_i_sub_score	MDS-UPDRS Part I Questions 1-6 Summary Sub-Score	0 - 24		MDS-UPDRS | Subscale score	Observation	Observable Entity	Mild. Consistent forgetfulness with partial recollection of events and no other difficulties | Moderate memory loss, with disorientation and moderate difficulty handling complex problems, Mild but definite impairment of function at home with need of occasional prompting | None | Severe memory loss with disorientation for time and often to place. Severe impairment in handling problems | Severe memory loss with orientation preserved to person only. Unable to make judgments or solve problems. Requires much help with personal care. Cannot be left alone at all		""	CDISC			37537169|4088611
184	AMP-PD	mds_updrs_part_i_summary_score	MDS-UPDRS Part I Summary Score	0 - 48		MDS-UPDRS | Summated scale score	Observation	Observable Entity	Mild. Consistent forgetfulness with partial recollection of events and no other difficulties | Moderate memory loss, with disorientation and moderate difficulty handling complex problems, Mild but definite impairment of function at home with need of occasional prompting | None | Severe memory loss with disorientation for time and often to place. Severe impairment in handling problems | Severe memory loss with orientation preserved to person only. Unable to make judgments or solve problems. Requires much help with personal care. Cannot be left alone at all		""	CDISC			37537169|4090444
185	AMP-PD	mds_updrs_part_ii_primary_info_source	MDS-UPDRS Part II Primary Source Of Information	Patient | Patient and Caregiver - Equal Proportion | Caregiver		MDS-UPDRS	Observation	Observable Entity	None | Periods of sadness or guilt greater than normal, never sustained for days or weeks | Sustained depression 1 week or more | Sustained depression with vegetative symptoms and suicidal thoughts or intent | Sustained depression with vegetative symptoms insomnia, anorexia, weight loss, loss of interest		""	CDISC			37537169
186	AMP-PD	mds_updrs_part_ii_summary_score	MDS-UPDRS Part II Summary Score	0 - 52		MDS-UPDRS | Summated scale score	Observation	Observable Entity	None | Periods of sadness or guilt greater than normal, never sustained for days or weeks | Sustained depression 1 week or more | Sustained depression with vegetative symptoms and suicidal thoughts or intent | Sustained depression with vegetative symptoms insomnia, anorexia, weight loss, loss of interest		""	CDISC			37537169|4090444
187	AMP-PD	mds_updrs_part_iii_summary_score	MDS-UPDRS Part III Summary Score	0 - 132		Motor examination panel [UPDRS] | Summated scale score	Measurement	Clinical Observation			""	LOINC			46236410|4090444
188	AMP-PD	mds_updrs_part_iv_summary_score	MDS-UPDRS Part IV Summary Score	0 - 24		MDS-UPDRS | Summated scale score	Observation	Observable Entity			""	CDISC			37537169|4090444
189	AMP-PD	memory_loss	Memory loss	Yes | No | NA		Amnesia	Condition	Clinical Finding			""	SNOMED/Condition/S			439147
190	AMP-PD	mms101a_year	MMSE - What Is The Year (MMS101A)	Correct | Incorrect		Temporal orientation - current year during assessment period [CMS Assessment]	Observation	Survey	45884005 | 45877586 | 45881116 | 45880253	Missed by 2-5 years | Missed by 1 year | Missed by > 5 years or no answer | Correct	""	LOINC			1260024
191	AMP-PD	mms101b_season	MMSE - What Is The Season (MMS101B)	Correct | Incorrect		Folstein Mini-mental State Examination: Is patient oriented to season?	Observation	Observable Entity			""	Nebraska Lexicon			3184143
192	AMP-PD	mms101c_month	MMSE - What Is The Month Of Year (MMS101C)	Correct | Incorrect		Temporal orientation - current month during assessment period [CMS Assessment]	Observation	Survey	45885017 | 45881117 | 45880254	Missed by > 1 month or no answer | Missed by 6 days to 1 month | Accurate within 5 days	""	LOINC			1260104
193	AMP-PD	mms101d_day	MMSE - What Is the Day of Week (MMS101D)	Correct | Incorrect		Temporal orientation - current day of the week [CMS Assessment]	Observation	Survey	45880255 | 45880253	Incorrect or no answer | Correct	""	LOINC			1260032
194	AMP-PD	mms101e_date	MMSE - What Is The Date (MMS101E)	Correct | Incorrect		MMS1-What Is the Date	Observation	Observable Entity	These  Mini-Mental State Examination (MMSE) concept codes are valid but non-standard. When visiting Athena, there will be no title or description but it will include the CDISC code which can be used to look up more details. Link to EVS.		""	CDISC			37535522
195	AMP-PD	mms102a_state	MMSE - What Is The State (MMS102A)	Correct | Incorrect		MMS1-What Is the State	Observation	Observable Entity	These  Mini-Mental State Examination (MMSE) concept codes are valid but non-standard. When visiting Athena, there will be no title or description but it will include the CDISC code which can be used to look up more details. Link to EVS.		""	CDISC			37538536
196	AMP-PD	mms102b_county	MMSE - What Is The County (MMS102B)	Correct | Incorrect		MMS1-What Is the County	Observation	Observable Entity	These  Mini-Mental State Examination (MMSE) concept codes are valid but non-standard. When visiting Athena, there will be no title or description but it will include the CDISC code which can be used to look up more details. Link to EVS.		""	CDISC			37534195
197	AMP-PD	mms102c_city	MMSE - What Is The City Or Town (MMS102C)	Correct | Incorrect		MMS1-What Is the City/Town	Observation	Observable Entity	These  Mini-Mental State Examination (MMSE) concept codes are valid but non-standard. When visiting Athena, there will be no title or description but it will include the CDISC code which can be used to look up more details. Link to EVS.		""	CDISC			37528823
198	AMP-PD	mms102d_address	MMSE - What Is The Building (MMS102D)	Correct | Incorrect		MMS1-What Is the Building	Observation	Observable Entity	These  Mini-Mental State Examination (MMSE) concept codes are valid but non-standard. When visiting Athena, there will be no title or description but it will include the CDISC code which can be used to look up more details. Link to EVS.		""	CDISC			37525797
199	AMP-PD	mms102e_floor	MMSE - What Is The Floor (MMS102E)	Correct | Incorrect		MMS1-What Is the Floor	Observation	Observable Entity	These  Mini-Mental State Examination (MMSE) concept codes are valid but non-standard. When visiting Athena, there will be no title or description but it will include the CDISC code which can be used to look up more details. Link to EVS.		""	CDISC			37530368
200	AMP-PD	mms103_repeat_objects_score	MMSE - Repeat Three Unrelated Objects Score: MMSE - Repeat Word 1 (MMS103A), MMSE - Repeat Word 2 (103B), MMSE - Repeat Word 3 (103C) (1 point for each correct answer)	0 - 3		Finding relating to immediate recall | Mini-Mental State Examination [MMSE]	Observation	Survey | Clinical Finding			""	(composite)			4154448|42869861
201	AMP-PD	mms104_attention_calculat_score	MMSE - Attention and Calculation Subtotal (MMS104)	0 - 5		CALCULATION | Attention | Mini-Mental State Examination [MMSE]	Observation	Survey | Observable Entity | Procedure			""	(composite)			37542948|4195864|42869861
