TableName,ColumnName,Title,Description,Required,DataType,DataTypeRange,UniqueValues
UPDRS.csv,upd122d_rigidity_low_extrem_rt,Unified Parkinson's Disease Rating Scale (UPDRS),"UPDRS - Motor Examination: Rigidity Lower Extremity, Right (UPD122D)",FALSE,Float,0 - 4,
UPDRS.csv,upd122e_rigidity_low_extrem_lt,Unified Parkinson's Disease Rating Scale (UPDRS),"UPDRS - Motor Examination: Rigidity Lower Extremity, Left (UPD122E)",FALSE,Float,0 - 4,
UPDRS.csv,upd123a_finger_taps_right,Unified Parkinson's Disease Rating Scale (UPDRS),"UPDRS - Motor Examination: Finger Taps, Right (UPD123A)",FALSE,Float,0 - 4,
UPDRS.csv,upd123b_finger_taps_left,Unified Parkinson's Disease Rating Scale (UPDRS),"UPDRS - Motor Examination: Finger Taps, Left (UPD123B)",FALSE,Float,0 - 4,
UPDRS.csv,upd124a_hand_grips_right,Unified Parkinson's Disease Rating Scale (UPDRS),"UPDRS - Motor Examination: Hand Grips, Right (UPD124A)",FALSE,Float,0 - 4,
UPDRS.csv,upd124b_hand_grips_left,Unified Parkinson's Disease Rating Scale (UPDRS),"UPDRS - Motor Examination: Hand Grips, Left (UPD124B)",FALSE,Float,0 - 4,
UPDRS.csv,upd125a_hand_pronate_supinate_rt,Unified Parkinson's Disease Rating Scale (UPDRS),"UPDRS - Motor Examination: Hand Pronate/Supinate, Right (UPD125A)",FALSE,Float,0 - 4,
UPDRS.csv,upd125b_hand_pronate_supinate_lt,Unified Parkinson's Disease Rating Scale (UPDRS),"UPDRS - Motor Examination: Hand Pronate/Supinate, Left (UPD125B)",FALSE,Float,0 - 4,
UPDRS.csv,upd126a_leg_agility_rt,Unified Parkinson's Disease Rating Scale (UPDRS),"UPDRS - Motor Examination: Leg Agility, Right (UPD126A)",FALSE,Float,0 - 4,
UPDRS.csv,upd126b_leg_agility_lt,Unified Parkinson's Disease Rating Scale (UPDRS),"UPDRS - Motor Examination: Leg Agility, Left (UPD126B)",FALSE,Float,0 - 4,
UPDRS.csv,upd127_arising_from_chair,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Motor Examination: Arising from Chair (UPD127),FALSE,Float,0 - 4,
UPDRS.csv,upd128_posture,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Motor Examination: Posture (UPD128),FALSE,Float,0 - 4,
UPDRS.csv,upd129_gait,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Motor Examination: Gait (UPD129),FALSE,Float,0 - 4,
UPDRS.csv,upd130_postural_stability,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Motor Examination: Postural Stability (UPD130),FALSE,Float,0 - 4,
UPDRS.csv,upd131_body_bradykinesia,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Motor Examination: Body Bradykinesia and Hypokinesia (UPD131),FALSE,Float,0 - 4,
UPDRS.csv,updrs3_motor_examination_score,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Motor Examination Sub-total (UPD147),FALSE,Float,0 - 108,
UPDRS.csv,upd132_dyskinesias_duration,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Complications of Therapy: Dyskinesias - Duration (UPD132),FALSE,Float,0 - 4,
UPDRS.csv,upd133_dyskinesias_disability,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Complications of Therapy: Dyskinesias - Disability (UPD133),FALSE,Float,0 - 4,
UPDRS.csv,upd134_dyskinesias_painful,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Complications of Therapy: Dyskinesias - Painful Dyskinesias (UPD134),FALSE,Float,0 - 4,
UPDRS.csv,upd135_dyskinesias_dystonia,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Complications of Therapy: Dyskinesias - Presence of Early Morning Dystonia (UPD135),FALSE,Float,0 - 1,
UPDRS.csv,upd136_off_periods_predictable,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Complications of Therapy: Clinical Fluctuations - Off Periods Predictable (UPD136),FALSE,Float,0 - 1,
UPDRS.csv,upd137_off_periods_unpredictable,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Complications of Therapy: Clinical Fluctuations - Off Periods Unpredictable (UPD137),FALSE,Float,0 - 1,
UPDRS.csv,upd138_off_periods_sudden,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Complications of Therapy: Clinical Fluctuations - Off Periods Sudden (UPD138),FALSE,Float,0 - 1,
UPDRS.csv,upd139_clin_fluctu_off_periods,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Complications of Therapy: Clinical Fluctuations - Average Off Periods Per Day (UPD139),FALSE,Float,0 - 4,
UPDRS.csv,upd140_anorexia_nausea_vomit,Unified Parkinson's Disease Rating Scale (UPDRS),"UPDRS - Complications of Therapy: Other Complications - Anorexia, Nausea, or Vomiting (UPD140)",FALSE,Float,0 - 1,
UPDRS.csv,upd141_sleep_disturbances,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Complications of Therapy: Other Complications - Sleep Disturbances (UPD141),FALSE,Float,0 - 1,
UPDRS.csv,upd142_symptomatic_orthostasis,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Complications of Therapy: Other Complications - Symptomatic Orthostasis (UPD142),FALSE,Float,0 - 1,
UPDRS.csv,updrs4_therapy_complications_score,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Complications of Therapy: Sub-total,FALSE,Float,0 - 30,
UPDRS.csv,upd143_mod_hoehn_and_yahr_stage,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Modified Hoehn and Yahr Staging (UPD143),FALSE,Float,0 - 5,
UPDRS.csv,updrs1_on_medication,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS Part 1 - Clinical State On Medication,FALSE,String,,
UPDRS.csv,updrs2_on_medication,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS Part 2 - Clinical State On Medication,FALSE,String,,
